Year,Data type,Sex,Age group,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,National(a)
2018-19,Proportion of clients that avoided homelessness,All clients,15 to 17,79.8,79.4,75.9,68.0,76.9,n.p.,n.p.,85.2,77.9
2018-19,Proportion of clients that avoided homelessness,All clients,18 to 24,78.5,72.0,75.9,78.1,78.1,67.9,63.2,76.7,74.6
2018-19,Proportion of clients that avoided homelessness,All clients,25 to 34,82.1,75.5,76.4,79.7,81.1,78.6,76.1,72.4,77.0
2018-19,Proportion of clients that avoided homelessness,All clients,35 to 44,83.0,76.7,77.6,82.2,82.3,73.9,78.3,77.7,78.4
2018-19,Proportion of clients that avoided homelessness,All clients,45 to 54,87.6,81.8,81.4,84.9,81.7,89.0,n.p.,79.6,82.9
2018-19,Proportion of clients that avoided homelessness,All clients,55 to 64,90.4,87.9,81.1,90.8,89.4,n.p.,n.p.,n.p.,87.5
2018-19,Proportion of clients that avoided homelessness,All clients,65+,95.0,91.5,89.2,95.8,n.p.,n.p.,n.p.,n.p.,92.1
2018-19,Proportion of clients that avoided homelessness,All clients,Total,83.5,78.9,78.9,80.4,83.0,78.3,76.1,80.0,79.9
2018-19,Number of clients that avoided homelessness,Females,0 to 9,"1,092","1,498",777,441,322,n.p.,n.p.,236,"4,361"
2018-19,Number of clients that avoided homelessness,Females,10 to 14,539,639,281,149,111,n.p.,n.p.,100,"1,821"
2018-19,Number of clients that avoided homelessness,Females,15 to 17,760,431,220,100,105,n.p.,n.p.,72,"1,695"
2018-19,Number of clients that avoided homelessness,Females,18 to 24,"1,201","1,668",608,363,317,49,58,181,"4,407"
2018-19,Number of clients that avoided homelessness,Females,25 to 34,"1,475","3,461",885,772,629,92,106,267,"7,624"
2018-19,Number of clients that avoided homelessness,Females,35 to 44,"1,500","3,349",827,649,537,80,64,245,"7,197"
2018-19,Number of clients that avoided homelessness,Females,45 to 54,968,"2,282",493,387,259,63,53,113,"4,597"
2018-19,Number of clients that avoided homelessness,Females,55 to 64,466,"1,004",223,192,95,28,23,68,"2,089"
2018-19,Number of clients that avoided homelessness,Females,65+,235,682,110,104,37,21,n.p.,n.p.,"1,217"
2018-19,Number of clients that avoided homelessness,Females,Total,"8,236","15,014","4,424","3,157","2,412",353,349,"1,298","35,008"
2018-19,Number of clients that avoided homelessness,Males,0 to 9,"1,027","1,576",821,441,347,n.p.,n.p.,220,"4,437"
2018-19,Number of clients that avoided homelessness,Males,10 to 14,558,646,306,114,106,n.p.,n.p.,61,"1,792"
2018-19,Number of clients that avoided homelessness,Males,15 to 17,585,365,157,49,81,n.p.,n.p.,26,"1,276"
2018-19,Number of clients that avoided homelessness,Males,18 to 24,600,863,280,83,110,25,26,36,"2,014"
2018-19,Number of clients that avoided homelessness,Males,25 to 34,402,"1,377",277,156,141,44,31,27,"2,436"
2018-19,Number of clients that avoided homelessness,Males,35 to 44,473,"1,490",353,197,158,36,37,24,"2,747"
2018-19,Number of clients that avoided homelessness,Males,45 to 54,464,"1,184",298,202,115,42,23,35,"2,348"
2018-19,Number of clients that avoided homelessness,Males,55 to 64,288,744,163,135,48,26,n.p.,n.p.,"1,420"
2018-19,Number of clients that avoided homelessness,Males,65+,180,512,80,77,n.p.,n.p.,n.p.,n.p.,896
2018-19,Number of clients that avoided homelessness,Males,Total,"4,577","8,757","2,735","1,454","1,124",202,160,456,"19,366"
2018-19,Number of clients that avoided homelessness,All clients,0 to 9,"2,119","3,074","1,598",882,669,n.p.,29,456,"8,798"
2018-19,Number of clients that avoided homelessness,All clients,10 to 14,"1,097","1,285",587,263,217,n.p.,n.p.,161,"3,613"
2018-19,Number of clients that avoided homelessness,All clients,15 to 17,"1,345",796,377,149,186,n.p.,21,98,"2,971"
2018-19,Number of clients that avoided homelessness,All clients,18 to 24,"1,801","2,531",888,446,427,74,84,217,"6,421"
2018-19,Number of clients that avoided homelessness,All clients,25 to 34,"1,877","4,838","1,162",928,770,136,137,294,"10,060"
2018-19,Number of clients that avoided homelessness,All clients,35 to 44,"1,973","4,839","1,180",846,695,116,101,269,"9,944"
2018-19,Number of clients that avoided homelessness,All clients,45 to 54,"1,432","3,466",791,589,374,105,76,148,"6,945"
2018-19,Number of clients that avoided homelessness,All clients,55 to 64,754,"1,748",386,327,143,54,32,78,"3,509"
2018-19,Number of clients that avoided homelessness,All clients,65+,415,"1,194",190,181,55,32,20,33,"2,113"
2018-19,Number of clients that avoided homelessness,All clients,Total,"12,813","23,771","7,159","4,611","3,536",555,509,"1,754","54,374"
2018-19,Number of At risk clients,Females,0 to 9,"1,314","1,874",959,571,372,5,19,280,"5,387"
2018-19,Number of At risk clients,Females,10 to 14,622,765,357,187,124,7,4,115,"2,180"
2018-19,Number of At risk clients,Females,15 to 17,974,565,288,150,141,16,17,82,"2,231"
2018-19,Number of At risk clients,Females,18 to 24,"1,527","2,332",795,468,401,70,99,230,"5,908"
2018-19,Number of At risk clients,Females,25 to 34,"1,782","4,467","1,130",970,764,112,140,361,"9,712"
2018-19,Number of At risk clients,Females,35 to 44,"1,763","4,171","1,042",779,618,100,83,299,"8,838"
2018-19,Number of At risk clients,Females,45 to 54,"1,088","2,713",604,463,305,70,60,142,"5,435"
2018-19,Number of At risk clients,Females,55 to 64,508,"1,126",264,210,99,35,28,76,"2,340"
2018-19,Number of At risk clients,Females,65+,246,727,115,108,37,23,14,19,"1,289"
2018-19,Number of At risk clients,Females,Total,"9,824","18,740","5,554","3,906","2,861",438,464,"1,604","43,320"
2018-19,Number of At risk clients,Males,0 to 9,"1,224","1,966","1,023",595,386,10,16,260,"5,479"
2018-19,Number of At risk clients,Males,10 to 14,635,755,360,153,124,5,6,69,"2,107"
2018-19,Number of At risk clients,Males,15 to 17,711,438,209,69,101,8,12,33,"1,581"
2018-19,Number of At risk clients,Males,18 to 24,766,"1,183",375,103,146,39,34,53,"2,701"
2018-19,Number of At risk clients,Males,25 to 34,505,"1,938",391,194,185,61,40,45,"3,361"
2018-19,Number of At risk clients,Males,35 to 44,613,"2,134",479,250,226,57,46,47,"3,847"
2018-19,Number of At risk clients,Males,45 to 54,546,"1,523",368,231,153,48,30,44,"2,944"
2018-19,Number of At risk clients,Males,55 to 64,326,863,212,150,61,31,13,17,"1,672"
2018-19,Number of At risk clients,Males,65+,191,578,98,81,19,12,8,20,"1,006"
2018-19,Number of At risk clients,Males,Total,"5,517","11,378","3,515","1,826","1,401",271,205,588,"24,698"
2018-19,Number of At risk clients,All clients,0 to 9,"2,538","3,840","1,982","1,166",758,15,35,540,"10,866"
2018-19,Number of At risk clients,All clients,10 to 14,"1,257","1,520",717,340,248,12,10,184,"4,287"
2018-19,Number of At risk clients,All clients,15 to 17,"1,685","1,003",497,219,242,24,29,115,"3,812"
2018-19,Number of At risk clients,All clients,18 to 24,"2,293","3,515","1,170",571,547,109,133,283,"8,609"
2018-19,Number of At risk clients,All clients,25 to 34,"2,287","6,405","1,521","1,164",949,173,180,406,"13,073"
2018-19,Number of At risk clients,All clients,35 to 44,"2,376","6,305","1,521","1,029",844,157,129,346,"12,685"
2018-19,Number of At risk clients,All clients,45 to 54,"1,634","4,236",972,694,458,118,90,186,"8,379"
2018-19,Number of At risk clients,All clients,55 to 64,834,"1,989",476,360,160,66,41,93,"4,012"
2018-19,Number of At risk clients,All clients,65+,437,"1,305",213,189,56,35,22,39,"2,295"
2018-19,Number of At risk clients,All clients,Total,"15,341","30,118","9,069","5,732","4,262",709,669,"2,192","68,018"
