Year,Data type,Sex,Age group,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,National(a)
2023-24,Number of At risk clients,Females,65+,279,889,222,224,68,41,14,39,"1,776"
2023-24,Number of At risk clients,Females,Total,"7,568","17,293","5,171","4,572","2,693",387,276,"1,738","39,655"
2023-24,Number of At risk clients,Males,0 to 9,821,"1,651",626,525,340,n.p.,2,307,"4,272"
2023-24,Number of At risk clients,Males,10 to 14,404,722,262,196,116,n.p.,2,61,"1,762"
2023-24,Number of At risk clients,Males,15 to 17,454,433,152,91,93,9,7,20,"1,259"
2023-24,Number of At risk clients,Males,18 to 24,590,"1,033",261,102,154,37,13,43,"2,231"
2023-24,Number of At risk clients,Males,25 to 34,323,"1,947",301,195,195,42,31,27,"3,057"
2023-24,Number of At risk clients,Males,35 to 44,389,"2,104",388,240,188,51,43,26,"3,430"
2023-24,Number of At risk clients,Males,45 to 54,426,"1,535",361,242,138,26,28,22,"2,779"
2023-24,Number of At risk clients,Males,55 to 64,285,959,238,177,84,34,11,16,"1,805"
2023-24,Number of At risk clients,Males,65+,178,647,172,124,53,38,5,6,"1,225"
2023-24,Number of At risk clients,Males,Total,"3,870","11,031","2,761","1,892","1,361",238,142,528,"21,820"
2023-24,Number of At risk clients,All clients,0 to 9,"1,636","3,192","1,165","1,098",689,n.p.,7,571,"8,357"
2023-24,Number of At risk clients,All clients,10 to 14,855,"1,413",495,405,221,n.p.,6,157,"3,552"
2023-24,Number of At risk clients,All clients,15 to 17,"1,128",943,313,251,231,17,22,82,"2,987"
2023-24,Number of At risk clients,All clients,18 to 24,"1,828","2,901",894,548,491,103,71,324,"7,152"
2023-24,Number of At risk clients,All clients,25 to 34,"1,723","5,944","1,517","1,196",844,131,99,440,"11,882"
2023-24,Number of At risk clients,All clients,35 to 44,"1,763","6,125","1,512","1,242",772,143,97,361,"12,000"
2023-24,Number of At risk clients,All clients,45 to 54,"1,347","4,070","1,060",845,481,80,64,186,"8,127"
2023-24,Number of At risk clients,All clients,55 to 64,701,"2,200",582,531,204,68,33,100,"4,417"
2023-24,Number of At risk clients,All clients,65+,457,"1,536",394,348,121,79,19,45,"3,001"
2023-24,Number of At risk clients,All clients,Total,"11,438","28,324","7,932","6,464","4,054",625,418,"2,266","61,475"
2022-23,Proportion of clients that avoided homelessness,Females,0 to 9,84.4,77.8,86.0,78.0,85.8,n.p.,n.p.,80.7,81.2
2022-23,Proportion of clients that avoided homelessness,Females,10 to 14,84.5,83.4,85.2,85.1,87.0,n.p.,n.p.,88.1,84.7
