Month and Year,Month,Year,Sex,Age group,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,National,,
Feb-25,February,2025,Female,10?14 years,899,"1,092",716,229,199,32,50,105,"3,320",,
Feb-25,February,2025,Female,15?17 years,992,857,641,195,266,91,67,64,"3,166",,
Feb-25,February,2025,Female,18?19 years,952,802,660,182,217,139,60,96,"3,105",,
Feb-25,February,2025,Female,20?24 years,"1,952","1,896","1,404",543,477,153,137,234,"6,773",,
Feb-25,February,2025,Female,25?29 years,"1,271","1,935","1,133",521,425,130,103,220,"5,716",,
Feb-25,February,2025,Female,30?34 years,"1,340","2,260","1,172",628,404,129,124,243,"6,278",,
Feb-25,February,2025,Female,35?39 years,"1,359","2,419","1,153",679,435,109,107,242,"6,479",,
Feb-25,February,2025,Female,40?44 years,"1,121","2,011","1,022",593,394,108,93,260,"5,587",,
Feb-25,February,2025,Female,45?49 years,914,"1,465",759,377,236,65,53,181,"4,043",,
Feb-25,February,2025,Female,50?54 years,739,"1,125",578,326,195,62,58,156,"3,231",,
Feb-25,February,2025,Female,55?59 years,475,737,360,223,108,50,35,115,"2,101",,
Feb-25,February,2025,Female,60?64 years,355,506,251,112,74,49,22,57,"1,425",,
Feb-25,February,2025,Female,65+ years,476,731,388,174,88,102,46,69,"2,073",,
Feb-25,February,2025,Female,All Females,"14,852","20,285","12,078","5,355","4,002","1,289","1,086","2,275","61,079",,
Feb-25,February,2025,Male,0?4 years,"1,106","1,209","1,015",302,299,50,64,128,"4,170",,
Feb-25,February,2025,Male,5?9 years,914,"1,276",930,300,218,39,84,119,"3,875",,
Feb-25,February,2025,Male,10?14 years,764,"1,132",736,245,189,39,55,72,"3,229",,
Feb-25,February,2025,Male,15?17 years,670,690,495,120,138,42,51,64,"2,269",,
Feb-25,February,2025,Male,18?19 years,452,504,404,70,101,63,30,43,"1,664",,
Feb-25,February,2025,Male,20?24 years,842,993,628,128,210,102,57,68,"3,016",,
Feb-25,February,2025,Male,25?29 years,427,790,381,124,194,75,42,59,"2,090",,
Feb-25,February,2025,Male,30?34 years,478,998,459,134,192,86,74,61,"2,476",,
Feb-25,February,2025,Male,35?39 years,497,"1,013",516,167,239,87,65,97,"2,671",,
Feb-25,February,2025,Male,40?44 years,616,"1,090",614,218,221,92,61,108,"3,002",,
Feb-25,February,2025,Male,45?49 years,548,924,558,199,205,81,78,86,"2,668",,
Feb-25,February,2025,Male,50?54 years,537,823,513,215,154,81,66,109,"2,491",,
Feb-25,February,2025,Male,55?59 years,400,581,380,162,131,69,36,98,"1,854",,
Feb-25,February,2025,Male,60?64 years,311,388,233,91,84,88,34,58,"1,285",,
Feb-25,February,2025,Male,65+ years,414,599,371,129,80,140,44,71,"1,846",,
Feb-25,February,2025,Male,All Males,"8,976","13,010","8,233","2,604","2,655","1,134",841,"1,241","38,606",,
Feb-25,February,2025,Total,0?4 years,"2,253","2,421","1,969",589,574,89,137,244,"8,270",,
Feb-25,February,2025,Total,5?9 years,"1,774","2,513","1,817",586,427,70,142,236,"7,557",,
Feb-25,February,2025,Total,10?14 years,"1,663","2,224","1,452",474,388,71,105,177,"6,549",,
Feb-25,February,2025,Total,15?17 years,"1,662","1,547","1,136",315,404,133,118,128,"5,435",,
Feb-25,February,2025,Total,18?19 years,"1,404","1,306","1,064",252,318,202,90,139,"4,769",,
Feb-25,February,2025,Total,20?24 years,"2,794","2,889","2,032",671,687,255,194,302,"9,789",,
Feb-25,February,2025,Total,25?29 years,"1,698","2,725","1,514",645,619,205,145,279,"7,806",,
Feb-25,February,2025,Total,30?34 years,"1,818","3,258","1,631",762,596,215,198,304,"8,754",,
Feb-25,February,2025,Total,35?39 years,"1,856","3,432","1,669",846,674,196,172,339,"9,150",,
Feb-25,February,2025,Total,40?44 years,"1,737","3,101","1,636",811,615,200,154,368,"8,589",,
Feb-25,February,2025,Total,45?49 years,"1,462","2,389","1,317",576,441,146,131,267,"6,711",,
Feb-25,February,2025,Total,50?54 years,"1,276","1,948","1,091",541,349,143,124,265,"5,722",,
Feb-25,February,2025,Total,55?59 years,875,"1,318",740,385,239,119,71,213,"3,955",,
Feb-25,February,2025,Total,60?64 years,666,894,484,203,158,137,56,115,"2,710",,
Feb-25,February,2025,Total,65+ years,890,"1,330",759,303,168,242,90,140,"3,919",,
Feb-25,February,2025,Total,All Ages,"23,828","33,295","20,311","7,959","6,657","2,423","1,927","3,516","99,685",,
Jan-25,January,2025,Female,0?4 years,"1,073","1,242",958,292,270,38,69,120,"4,060",,
Jan-25,January,2025,Female,5?9 years,810,"1,238",883,285,194,35,60,119,"3,622",,
Jan-25,January,2025,Female,10?14 years,779,"1,112",724,211,183,32,57,116,"3,211",,
Jan-25,January,2025,Female,15?17 years,966,839,622,189,256,90,68,77,"3,103",,
Jan-25,January,2025,Female,18?19 years,905,785,634,183,221,143,55,106,"3,026",,
Jan-25,January,2025,Female,20?24 years,"1,890","1,919","1,330",529,474,162,131,257,"6,666",,
Jan-25,January,2025,Female,25?29 years,"1,263","1,873","1,146",528,425,131,96,214,"5,658",,
Jan-25,January,2025,Female,30?34 years,"1,303","2,282","1,210",621,394,131,117,243,"6,281",,
Jan-25,January,2025,Female,35?39 years,"1,319","2,351","1,155",675,438,115,114,252,"6,398",,
Jan-25,January,2025,Female,40?44 years,"1,126","1,979",974,587,385,108,85,260,"5,490",,
Jan-25,January,2025,Female,45?49 years,899,"1,370",739,381,238,75,52,177,"3,920",,
Jan-25,January,2025,Female,50?54 years,752,"1,086",578,319,192,70,59,147,"3,196",,
Jan-25,January,2025,Female,55?59 years,453,703,349,200,97,54,37,107,"1,998",,
Jan-25,January,2025,Female,60?64 years,325,493,243,112,74,49,22,71,"1,386",,
Jan-25,January,2025,Female,65+ years,430,707,397,179,88,109,43,72,"2,025",,
Jan-25,January,2025,Female,All Females,"14,293","19,979","11,942","5,291","3,929","1,342","1,065","2,338","60,040",,
Jan-25,January,2025,Male,0?4 years,"1,050","1,233","1,024",309,283,56,64,144,"4,159",,
Jan-25,January,2025,Male,5?9 years,854,"1,303",945,326,218,40,85,128,"3,893",,
Jan-25,January,2025,Male,10?14 years,724,"1,105",741,249,185,39,54,87,"3,180",,
Jan-25,January,2025,Male,15?17 years,624,657,465,133,147,38,50,57,"2,167",,
