Month and Year,Month,Year,Sex,Client Group,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,National,
Nov-20,November,2020,Female,Number of Indigenous clients,"4,474","2,384","2,912","1,942","1,105",214,171,"1,841","15,015",
Nov-20,November,2020,Female,Number of clients who have experienced family and domestic violence,"6,286","11,398","2,752","2,244","1,433",419,502,"1,071","26,054",
Nov-20,November,2020,Female,Number of clients with a current mental health issue,"5,270","6,266","1,959","1,219","1,168",679,414,206,"17,163",
Nov-20,November,2020,Female,Number of clients with problematic drug or alcohol issues,"1,043","1,294",443,493,267,98,110,110,"3,856",
Nov-20,November,2020,Female,Number of clients financially assisted with payments for short term/emergency accommodation,144,"1,593",134,97,53,70,25,33,"2,149",
Nov-20,November,2020,Female,Number of nights in short-term/emergency accommodation,"23,886","48,541","45,395","12,461","5,299","5,557","5,687","3,253","150,079",
Nov-20,November,2020,Female,Number of clients accommodated in short-term/emergency accommodation,"1,267","2,840","1,997","1,141",299,291,222,480,"8,533",
Nov-20,November,2020,Female,Number of clients who are homeless,"6,114","8,370","3,867","1,716","1,471",837,606,657,"23,595",
Nov-20,November,2020,Female,Number of clients who are at risk of homelessness,"7,804","9,681","3,475","2,341","2,247",517,437,"1,241","27,695",
Nov-20,November,2020,Male,Number of Indigenous clients,"2,979","1,463","1,861","1,020",718,130,131,981,"9,276",
Nov-20,November,2020,Male,Number of clients who have experienced family and domestic violence,"2,127","3,161",984,544,316,123,201,322,"7,771",
Nov-20,November,2020,Male,Number of clients with a current mental health issue,"3,078","4,064","1,272",629,672,520,254,142,"10,620",
Nov-20,November,2020,Male,Number of clients with problematic drug or alcohol issues,"1,052","1,710",514,387,354,146,118,107,"4,387",
Nov-20,November,2020,Male,Number of clients financially assisted with payments for short term/emergency accommodation,58,"1,859",59,7,22,26,7,10,"2,048",
Nov-20,November,2020,Male,Number of nights in short-term/emergency accommodation,"17,294","55,886","34,698","8,348","4,492","3,528","3,015","2,344","129,605",
Nov-20,November,2020,Male,Number of clients accommodated in short-term/emergency accommodation,976,"3,324","1,544",646,262,202,116,192,"7,255",
Nov-20,November,2020,Male,Number of clients who are homeless,"4,695","7,652","3,005","1,226","1,164",775,432,553,"19,485",
Nov-20,November,2020,Male,Number of clients who are at risk of homelessness,"4,657","4,889","2,153","1,018","1,271",326,334,577,"15,202",
Nov-20,November,2020,Total,Number of Indigenous clients,"7,453","3,847","4,773","2,962","1,823",344,302,"2,822","24,291",
Nov-20,November,2020,Total,Number of clients who have experienced family and domestic violence,"8,413","14,559","3,736","2,788","1,749",542,703,"1,393","33,825",
Nov-20,November,2020,Total,Number of clients with a current mental health issue,"8,348","10,330","3,231","1,848","1,840","1,199",668,348,"27,783",
Nov-20,November,2020,Total,Number of clients with problematic drug or alcohol issues,"2,095","3,004",957,880,621,244,228,217,"8,243",
Nov-20,November,2020,Total,Number of clients financially assisted with payments for short term/emergency accommodation,202,"3,452",193,104,75,96,32,43,"4,197",
Nov-20,November,2020,Total,Number of nights in short-term/emergency accommodation,"41,180","104,427","80,093","20,809","9,791","9,085","8,702","5,597","279,684",
Nov-20,November,2020,Total,Number of clients accommodated in short-term/emergency accommodation,"2,243","6,164","3,541","1,787",561,493,338,672,"15,788",
Nov-20,November,2020,Total,Number of clients who are homeless,"10,809","16,022","6,872","2,942","2,635","1,612","1,038","1,210","43,080",
Nov-20,November,2020,Total,Number of clients who are at risk of homelessness,"12,461","14,570","5,628","3,359","3,518",843,771,"1,818","42,897",
Oct-20,October,2020,Female,Number of Indigenous clients,"4,321","2,282","2,924","1,896","1,122",204,172,"1,718","14,608",
Oct-20,October,2020,Female,Number of clients who have experienced family and domestic violence,"6,209","11,287","2,800","2,291","1,475",411,512,937,"25,860",
Oct-20,October,2020,Female,Number of clients with a current mental health issue,"5,163","6,155","2,012","1,263","1,185",656,402,211,"17,028",
Oct-20,October,2020,Female,Number of clients with problematic drug or alcohol issues,"1,050","1,358",471,455,291,109,112,119,"3,964",
Oct-20,October,2020,Female,Number of clients financially assisted with payments for short term/emergency accommodation,124,"1,681",179,78,72,75,14,38,"2,261",
Oct-20,October,2020,Female,Number of nights in short-term/emergency accommodation,"23,806","50,788","46,812","12,841","5,022","5,589","6,102","3,405","154,365",
Oct-20,October,2020,Female,Number of clients accommodated in short-term/emergency accommodation,"1,235","2,848","2,065","1,128",294,280,211,406,"8,463",
Oct-20,October,2020,Female,Number of clients who are homeless,"6,056","8,395","3,922","1,630","1,524",825,595,692,"23,601",
Oct-20,October,2020,Female,Number of clients who are at risk of homelessness,"7,591","9,530","3,430","2,473","2,262",476,439,"1,106","27,256",
Oct-20,October,2020,Male,Number of Indigenous clients,"2,960","1,433","1,842","1,046",721,125,138,992,"9,248",
Oct-20,October,2020,Male,Number of clients who have experienced family and domestic violence,"2,157","3,153","1,018",558,306,122,214,270,"7,789",
Oct-20,October,2020,Male,Number of clients with a current mental health issue,"3,052","4,086","1,341",622,692,497,270,139,"10,691",
Oct-20,October,2020,Male,Number of clients with problematic drug or alcohol issues,"1,060","1,792",553,388,367,137,112,119,"4,528",
Oct-20,October,2020,Male,Number of clients financially assisted with payments for short term/emergency accommodation,56,"2,313",73,14,21,35,5,12,"2,529",
Oct-20,October,2020,Male,Number of nights in short-term/emergency accommodation,"17,672","64,846","36,101","9,145","4,711","3,557","3,364","2,308","141,704",
Oct-20,October,2020,Male,Number of clients accommodated in short-term/emergency accommodation,950,"3,516","1,607",728,259,186,133,163,"7,538",
Oct-20,October,2020,Male,Number of clients who are homeless,"4,651","7,833","3,129","1,227","1,186",751,445,556,"19,762",
Oct-20,October,2020,Male,Number of clients who are at risk of homelessness,"4,613","4,790","2,112","1,089","1,232",305,356,571,"15,047",
Oct-20,October,2020,Total,Number of Indigenous clients,"7,281","3,715","4,766","2,942","1,843",329,310,"2,710","23,856",
Oct-20,October,2020,Total,Number of clients who have experienced family and domestic violence,"8,366","14,440","3,818","2,849","1,781",533,726,"1,207","33,649",
Oct-20,October,2020,Total,Number of clients with a current mental health issue,"8,215","10,241","3,353","1,885","1,877","1,153",672,350,"27,719",
Oct-20,October,2020,Total,Number of clients with problematic drug or alcohol issues,"2,110","3,150","1,024",843,658,246,224,238,"8,492",
Oct-20,October,2020,Total,Number of clients financially assisted with payments for short term/emergency accommodation,180,"3,994",252,92,93,110,19,50,"4,790",
Oct-20,October,2020,Total,Number of nights in short-term/emergency accommodation,"41,478","115,634","82,913","21,986","9,733","9,146","9,466","5,713","296,069",
Oct-20,October,2020,Total,Number of clients accommodated in short-term/emergency accommodation,"2,185","6,364","3,672","1,856",553,466,344,569,"16,001",
Oct-20,October,2020,Total,Number of clients who are homeless,"10,707","16,228","7,051","2,857","2,710","1,576","1,040","1,248","43,363",
Oct-20,October,2020,Total,Number of clients who are at risk of homelessness,"12,204","14,320","5,542","3,562","3,494",781,795,"1,677","42,303",
Sep-20,September,2020,Female,Number of Indigenous clients,"4,212","2,298","2,896","1,822","1,140",199,175,"1,705","14,416",
Sep-20,September,2020,Female,Number of clients who have experienced family and domestic violence,"6,162","11,478","2,813","2,220","1,507",402,521,943,"26,002",
Sep-20,September,2020,Female,Number of clients with a current mental health issue,"5,178","6,186","2,100","1,190","1,188",657,418,194,"17,097",
Sep-20,September,2020,Female,Number of clients with problematic drug or alcohol issues,"1,033","1,385",492,453,292,106,114,122,"3,996",
Sep-20,September,2020,Female,Number of clients financially assisted with payments for short term/emergency accommodation,108,"1,650",205,59,54,71,10,48,"2,204",
Sep-20,September,2020,Female,Number of nights in short-term/emergency accommodation,"23,378","47,644","44,977","11,882","5,193","5,320","5,830","3,274","147,498",
Sep-20,September,2020,Female,Number of clients accommodated in short-term/emergency accommodation,"1,185","2,801","2,070","1,074",294,280,211,433,"8,346",
Sep-20,September,2020,Female,Number of clients who are homeless,"5,947","8,464","4,003","1,542","1,568",793,585,677,"23,548",
Sep-20,September,2020,Female,Number of clients who are at risk of homelessness,"7,581","9,569","3,414","2,396","2,313",503,456,"1,142","27,323",
Sep-20,September,2020,Male,Number of Indigenous clients,"2,922","1,471","1,809",917,736,139,133,915,"9,034",
Sep-20,September,2020,Male,Number of clients who have experienced family and domestic violence,"2,125","3,130",986,516,305,123,222,269,"7,674",
Sep-20,September,2020,Male,Number of clients with a current mental health issue,"3,061","4,058","1,357",621,707,502,273,127,"10,686",
Sep-20,September,2020,Male,Number of clients with problematic drug or alcohol issues,"1,075","1,809",588,388,375,143,116,110,"4,602",
Sep-20,September,2020,Male,Number of clients financially assisted with payments for short term/emergency accommodation,59,"2,311",143,12,17,35,4,13,"2,593",
Sep-20,September,2020,Male,Number of nights in short-term/emergency accommodation,"18,272","62,576","34,686","8,713","4,258","3,581","3,199","2,173","137,458",
Sep-20,September,2020,Male,Number of clients accommodated in short-term/emergency accommodation,950,"3,557","1,595",642,293,202,143,166,"7,545",
Sep-20,September,2020,Male,Number of clients who are homeless,"4,744","7,845","3,206","1,135","1,222",720,448,521,"19,818",
Sep-20,September,2020,Male,Number of clients who are at risk of homelessness,"4,574","4,979","2,102",977,"1,303",325,376,549,"15,168",
Sep-20,September,2020,Total,Number of Indigenous clients,"7,134","3,769","4,705","2,739","1,876",338,308,"2,620","23,450",
Sep-20,September,2020,Total,Number of clients who have experienced family and domestic violence,"8,287","14,608","3,799","2,736","1,812",525,743,"1,212","33,676",
Sep-20,September,2020,Total,Number of clients with a current mental health issue,"8,239","10,244","3,457","1,811","1,895","1,159",691,321,"27,783",
Sep-20,September,2020,Total,Number of clients with problematic drug or alcohol issues,"2,108","3,194","1,080",841,667,249,230,232,"8,598",
Sep-20,September,2020,Total,Number of clients financially assisted with payments for short term/emergency accommodation,167,"3,961",348,71,71,106,14,61,"4,797",
Sep-20,September,2020,Total,Number of nights in short-term/emergency accommodation,"41,650","110,220","79,663","20,595","9,451","8,901","9,029","5,447","284,956",
Sep-20,September,2020,Total,Number of clients accommodated in short-term/emergency accommodation,"2,135","6,358","3,665","1,716",587,482,354,599,"15,891",
Sep-20,September,2020,Total,Number of clients who are homeless,"10,691","16,309","7,209","2,677","2,790","1,513","1,033","1,198","43,366",
Sep-20,September,2020,Total,Number of clients who are at risk of homelessness,"12,155","14,548","5,516","3,373","3,616",828,832,"1,691","42,491",
Aug-20,August,2020,Female,Number of Indigenous clients,"4,058","2,193","2,740","1,716","1,118",205,177,"1,636","13,812",
Aug-20,August,2020,Female,Number of clients who have experienced family and domestic violence,"5,909","11,169","2,727","2,097","1,485",422,519,835,"25,122",
Aug-20,August,2020,Female,Number of clients with a current mental health issue,"5,029","6,141","2,029","1,128","1,192",641,407,169,"16,720",
Aug-20,August,2020,Female,Number of clients with problematic drug or alcohol issues,991,"1,372",476,430,281,99,110,128,"3,886",
Aug-20,August,2020,Female,Number of clients financially assisted with payments for short term/emergency accommodation,105,"1,495",236,59,52,79,13,26,"2,064",
Aug-20,August,2020,Female,Number of nights in short-term/emergency accommodation,"23,148","44,795","46,048","11,647","5,749","5,416","6,007","2,932","145,742",
Aug-20,August,2020,Female,Number of clients accommodated in short-term/emergency accommodation,"1,181","2,591","2,073","1,105",303,292,207,340,"8,087",
Aug-20,August,2020,Female,Number of clients who are homeless,"5,700","8,292","3,885","1,459","1,486",780,610,594,"22,781",
Aug-20,August,2020,Female,Number of clients who are at risk of homelessness,"7,323","9,338","3,238","2,247","2,241",478,436,"1,090","26,350",
Aug-20,August,2020,Male,Number of Indigenous clients,"2,735","1,416","1,705",873,724,146,128,868,"8,588",
Aug-20,August,2020,Male,Number of clients who have experienced family and domestic violence,"2,097","3,079",941,511,295,131,227,221,"7,496",
Aug-20,August,2020,Male,Number of clients with a current mental health issue,"2,935","3,950","1,321",583,702,476,243,125,"10,320",
Aug-20,August,2020,Male,Number of clients with problematic drug or alcohol issues,"1,068","1,698",532,366,378,140,106,109,"4,394",
Aug-20,August,2020,Male,Number of clients financially assisted with payments for short term/emergency accommodation,52,"2,134",185,13,16,50,6,1,"2,457",
Aug-20,August,2020,Male,Number of nights in short-term/emergency accommodation,"18,310","56,867","37,015","8,485","4,378","4,038","3,476","1,890","134,459",
Aug-20,August,2020,Male,Number of clients accommodated in short-term/emergency accommodation,907,"3,258","1,690",631,257,226,142,123,"7,231",
Aug-20,August,2020,Male,Number of clients who are homeless,"4,533","7,517","3,164","1,097","1,178",728,451,511,"19,156",
Aug-20,August,2020,Male,Number of clients who are at risk of homelessness,"4,385","4,911","1,927",940,"1,316",310,337,469,"14,582",
Aug-20,August,2020,Total,Number of Indigenous clients,"6,793","3,609","4,445","2,589","1,842",351,305,"2,504","22,400",
Aug-20,August,2020,Total,Number of clients who have experienced family and domestic violence,"8,006","14,248","3,668","2,608","1,780",553,746,"1,056","32,618",
Aug-20,August,2020,Total,Number of clients with a current mental health issue,"7,964","10,091","3,350","1,711","1,894","1,117",650,294,"27,040",
Aug-20,August,2020,Total,Number of clients with problematic drug or alcohol issues,"2,059","3,070","1,008",796,659,239,216,237,"8,280",
Aug-20,August,2020,Total,Number of clients financially assisted with payments for short term/emergency accommodation,157,"3,629",421,72,68,129,19,27,"4,521",
Aug-20,August,2020,Total,Number of nights in short-term/emergency accommodation,"41,458","101,662","83,063","20,132","10,127","9,454","9,483","4,822","280,201",
Aug-20,August,2020,Total,Number of clients accommodated in short-term/emergency accommodation,"2,088","5,849","3,763","1,736",560,518,349,463,"15,318",
Aug-20,August,2020,Total,Number of clients who are homeless,"10,233","15,809","7,049","2,556","2,664","1,508","1,061","1,105","41,937",
Aug-20,August,2020,Total,Number of clients who are at risk of homelessness,"11,708","14,249","5,165","3,187","3,557",788,773,"1,559","40,932",
Jul-20,July,2020,Female,Number of Indigenous clients,"3,894","2,183","2,687","1,677","1,129",191,166,"1,594","13,482",
Jul-20,July,2020,Female,Number of clients who have experienced family and domestic violence,"5,890","11,335","2,725","2,060","1,495",415,516,800,"25,167",
Jul-20,July,2020,Female,Number of clients with a current mental health issue,"4,965","6,169","2,050","1,136","1,226",621,411,152,"16,709",
Jul-20,July,2020,Female,Number of clients with problematic drug or alcohol issues,973,"1,391",495,423,279,104,109,122,"3,896",
Jul-20,July,2020,Female,Number of clients financially assisted with payments for short term/emergency accommodation,104,"1,355",208,58,63,86,17,22,"1,911",
Jul-20,July,2020,Female,Number of nights in short-term/emergency accommodation,"23,485","38,485","45,866","11,267","5,584","4,724","5,949","2,591","137,951",
Jul-20,July,2020,Female,Number of clients accommodated in short-term/emergency accommodation,"1,158","2,350","2,005","1,036",332,268,229,300,"7,674",
Jul-20,July,2020,Female,Number of clients who are homeless,"5,638","8,150","3,928","1,434","1,514",799,593,584,"22,604",
Jul-20,July,2020,Female,Number of clients who are at risk of homelessness,"7,349","9,770","3,152","2,237","2,315",442,444,"1,045","26,704",
Jul-20,July,2020,Male,Number of Indigenous clients,"2,671","1,407","1,696",903,739,142,135,885,"8,569",
Jul-20,July,2020,Male,Number of clients who have experienced family and domestic violence,"2,048","3,060",942,493,315,115,228,215,"7,407",
Jul-20,July,2020,Male,Number of clients with a current mental health issue,"2,988","3,944","1,336",588,694,482,257,128,"10,395",
Jul-20,July,2020,Male,Number of clients with problematic drug or alcohol issues,"1,081","1,691",518,354,369,140,106,116,"4,371",
Jul-20,July,2020,Male,Number of clients financially assisted with payments for short term/emergency accommodation,52,"1,906",186,8,19,47,8,5,"2,231",
Jul-20,July,2020,Male,Number of nights in short-term/emergency accommodation,"17,961","45,928","37,128","8,744","4,489","3,490","3,565","1,907","123,212",
Jul-20,July,2020,Male,Number of clients accommodated in short-term/emergency accommodation,903,"2,882","1,643",653,250,202,159,126,"6,809",
Jul-20,July,2020,Male,Number of clients who are homeless,"4,547","7,221","3,171","1,071","1,227",726,453,492,"18,873",
Jul-20,July,2020,Male,Number of clients who are at risk of homelessness,"4,434","5,081","1,893",961,"1,303",282,357,474,"14,776",
Jul-20,July,2020,Total,Number of Indigenous clients,"6,565","3,590","4,383","2,580","1,868",333,301,"2,479","22,051",
Jul-20,July,2020,Total,Number of clients who have experienced family and domestic violence,"7,938","14,395","3,667","2,553","1,810",530,744,"1,015","32,574",
Jul-20,July,2020,Total,Number of clients with a current mental health issue,"7,953","10,113","3,386","1,724","1,920","1,103",668,280,"27,104",
Jul-20,July,2020,Total,Number of clients with problematic drug or alcohol issues,"2,054","3,082","1,013",777,648,244,215,238,"8,267",
Jul-20,July,2020,Total,Number of clients financially assisted with payments for short term/emergency accommodation,156,"3,261",394,66,82,133,25,27,"4,142",
Jul-20,July,2020,Total,Number of nights in short-term/emergency accommodation,"41,446","84,413","82,994","20,011","10,073","8,214","9,514","4,498","261,163",
Jul-20,July,2020,Total,Number of clients accommodated in short-term/emergency accommodation,"2,061","5,232","3,648","1,689",582,470,388,426,"14,483",
Jul-20,July,2020,Total,Number of clients who are homeless,"10,185","15,371","7,099","2,505","2,741","1,525","1,046","1,076","41,477",
Jul-20,July,2020,Total,Number of clients who are at risk of homelessness,"11,783","14,851","5,045","3,198","3,618",724,801,"1,519","41,480",
Jun-20,June,2020,Female,Number of Indigenous clients,"3,950","2,157","2,716","1,629","1,119",194,167,"1,675","13,572",
Jun-20,June,2020,Female,Number of clients who have experienced family and domestic violence,"5,995","11,410","2,681","2,015","1,504",401,520,817,"25,299",
Jun-20,June,2020,Female,Number of clients with a current mental health issue,"5,006","6,079","2,021","1,136","1,205",617,407,167,"16,625",
Jun-20,June,2020,Female,Number of clients with problematic drug or alcohol issues,971,"1,368",500,408,285,102,100,112,"3,845",
Jun-20,June,2020,Female,Number of clients financially assisted with payments for short term/emergency accommodation,114,"1,365",215,77,69,80,18,24,"1,962",
Jun-20,June,2020,Female,Number of nights in short-term/emergency accommodation,"21,768","37,242","43,250","10,390","5,242","4,151","5,052","2,389","129,484",
Jun-20,June,2020,Female,Number of clients accommodated in short-term/emergency accommodation,"1,126","2,336","1,980",979,283,248,195,309,"7,453",
Jun-20,June,2020,Female,Number of clients who are homeless,"5,759","8,088","3,982","1,409","1,569",779,603,626,"22,774",
Jun-20,June,2020,Female,Number of clients who are at risk of homelessness,"7,427","9,977","3,198","2,209","2,309",462,460,"1,087","27,087",
Jun-20,June,2020,Male,Number of Indigenous clients,"2,785","1,378","1,721",933,709,138,135,909,"8,698",
Jun-20,June,2020,Male,Number of clients who have experienced family and domestic violence,"2,112","3,156",900,535,297,127,241,219,"7,580",
Jun-20,June,2020,Male,Number of clients with a current mental health issue,"2,974","3,844","1,371",599,728,494,259,118,"10,378",
Jun-20,June,2020,Male,Number of clients with problematic drug or alcohol issues,"1,066","1,664",551,379,364,158,103,112,"4,392",
Jun-20,June,2020,Male,Number of clients financially assisted with payments for short term/emergency accommodation,58,"1,799",225,11,20,60,11,3,"2,187",
Jun-20,June,2020,Male,Number of nights in short-term/emergency accommodation,"17,016","43,352","34,985","8,407","4,318","3,200","3,691","1,816","116,785",
Jun-20,June,2020,Male,Number of clients accommodated in short-term/emergency accommodation,863,"2,793","1,630",667,259,216,180,110,"6,711",
Jun-20,June,2020,Male,Number of clients who are homeless,"4,648","7,133","3,167","1,098","1,313",716,474,511,"19,027",
Jun-20,June,2020,Male,Number of clients who are at risk of homelessness,"4,517","5,204","1,974","1,056","1,204",289,367,477,"15,079",
Jun-20,June,2020,Total,Number of Indigenous clients,"6,735","3,535","4,437","2,562","1,828",332,302,"2,584","22,270",
Jun-20,June,2020,Total,Number of clients who have experienced family and domestic violence,"8,107","14,566","3,581","2,550","1,801",528,761,"1,036","32,879",
Jun-20,June,2020,Total,Number of clients with a current mental health issue,"7,980","9,923","3,392","1,735","1,933","1,111",666,285,"27,003",
Jun-20,June,2020,Total,Number of clients with problematic drug or alcohol issues,"2,037","3,032","1,051",787,649,260,203,224,"8,237",
Jun-20,June,2020,Total,Number of clients financially assisted with payments for short term/emergency accommodation,172,"3,164",440,88,89,140,29,27,"4,149",
Jun-20,June,2020,Total,Number of nights in short-term/emergency accommodation,"38,784","80,594","78,235","18,797","9,560","7,351","8,743","4,205","246,269",
Jun-20,June,2020,Total,Number of clients accommodated in short-term/emergency accommodation,"1,989","5,129","3,610","1,646",542,464,375,419,"14,164",
Jun-20,June,2020,Total,Number of clients who are homeless,"10,407","15,221","7,149","2,507","2,882","1,495","1,077","1,137","41,801",
Jun-20,June,2020,Total,Number of clients who are at risk of homelessness,"11,944","15,181","5,172","3,265","3,513",751,827,"1,564","42,166",
May-20,May,2020,Female,Number of Indigenous clients,"3,940","2,156","2,621","1,519","1,090",190,157,"1,703","13,345",
May-20,May,2020,Female,Number of clients who have experienced family and domestic violence,"5,867","11,108","2,655","2,043","1,485",390,514,702,"24,717",
May-20,May,2020,Female,Number of clients with a current mental health issue,"4,901","6,052","1,974","1,104","1,175",602,410,167,"16,369",
May-20,May,2020,Female,Number of clients with problematic drug or alcohol issues,951,"1,334",452,411,276,99,106,95,"3,721",
May-20,May,2020,Female,Number of clients financially assisted with payments for short term/emergency accommodation,102,"1,286",237,58,69,77,24,15,"1,868",
May-20,May,2020,Female,Number of nights in short-term/emergency accommodation,"22,250","36,025","44,385","10,564","4,736","4,266","5,327","1,958","129,511",
May-20,May,2020,Female,Number of clients accommodated in short-term/emergency accommodation,"1,102","2,320","1,991",893,297,238,192,243,"7,274",
May-20,May,2020,Female,Number of clients who are homeless,"5,668","8,080","3,836","1,392","1,553",776,596,596,"22,461",
May-20,May,2020,Female,Number of clients who are at risk of homelessness,"7,324","9,934","3,180","2,153","2,196",468,453,"1,011","26,673",
May-20,May,2020,Male,Number of Indigenous clients,"2,624","1,318","1,614",817,661,140,137,965,"8,266",
May-20,May,2020,Male,Number of clients who have experienced family and domestic violence,"2,031","3,114",880,524,291,110,232,207,"7,382",
May-20,May,2020,Male,Number of clients with a current mental health issue,"2,834","3,749","1,291",549,674,473,261,110,"9,926",
May-20,May,2020,Male,Number of clients with problematic drug or alcohol issues,"1,038","1,609",510,363,354,149,100,110,"4,229",
May-20,May,2020,Male,Number of clients financially assisted with payments for short term/emergency accommodation,45,"1,822",213,15,16,58,17,1,"2,187",
May-20,May,2020,Male,Number of nights in short-term/emergency accommodation,"17,262","44,692","34,191","8,059","3,815","3,211","3,751","1,501","116,482",
May-20,May,2020,Male,Number of clients accommodated in short-term/emergency accommodation,818,"2,876","1,589",581,234,201,164,108,"6,567",
May-20,May,2020,Male,Number of clients who are homeless,"4,622","7,120","2,991","1,059","1,270",703,475,482,"18,679",
May-20,May,2020,Male,Number of clients who are at risk of homelessness,"4,311","5,228","1,959",935,"1,134",299,350,454,"14,651",
May-20,May,2020,Total,Number of Indigenous clients,"6,564","3,474","4,235","2,336","1,751",330,294,"2,668","21,611",
May-20,May,2020,Total,Number of clients who have experienced family and domestic violence,"7,898","14,222","3,535","2,567","1,776",500,746,909,"32,099",
May-20,May,2020,Total,Number of clients with a current mental health issue,"7,735","9,801","3,265","1,653","1,849","1,075",671,277,"26,295",
May-20,May,2020,Total,Number of clients with problematic drug or alcohol issues,"1,989","2,943",962,774,630,248,206,205,"7,950",
May-20,May,2020,Total,Number of clients financially assisted with payments for short term/emergency accommodation,147,"3,108",450,73,85,135,41,16,"4,055",
May-20,May,2020,Total,Number of nights in short-term/emergency accommodation,"39,512","80,717","78,576","18,623","8,551","7,477","9,078","3,459","245,993",
May-20,May,2020,Total,Number of clients accommodated in short-term/emergency accommodation,"1,920","5,196","3,580","1,474",531,439,356,351,"13,841",
May-20,May,2020,Total,Number of clients who are homeless,"10,290","15,200","6,827","2,451","2,823","1,479","1,071","1,078","41,140",
May-20,May,2020,Total,Number of clients who are at risk of homelessness,"11,635","15,162","5,139","3,088","3,330",767,803,"1,465","41,324",
Apr-20,April,2020,Female,Number of Indigenous clients,"3,908","2,145","2,578","1,391","1,046",186,157,"1,712","13,091",
Apr-20,April,2020,Female,Number of clients who have experienced family and domestic violence,"5,751","11,041","2,606","1,960","1,482",390,507,715,"24,413",
Apr-20,April,2020,Female,Number of clients with a current mental health issue,"4,778","5,818","1,899","1,106","1,183",597,401,180,"15,946",
Apr-20,April,2020,Female,Number of clients with problematic drug or alcohol issues,931,"1,198",418,402,246,91,96,96,"3,476",
Apr-20,April,2020,Female,Number of clients financially assisted with payments for short term/emergency accommodation,128,"1,188",214,78,38,44,26,9,"1,723",
Apr-20,April,2020,Female,Number of nights in short-term/emergency accommodation,"21,864","30,425","42,363","9,729","4,174","4,034","4,895","1,978","119,462",
Apr-20,April,2020,Female,Number of clients accommodated in short-term/emergency accommodation,"1,116","2,123","1,917",798,264,221,189,247,"6,872",
Apr-20,April,2020,Female,Number of clients who are homeless,"5,548","7,908","3,733","1,355","1,502",776,568,558,"21,903",
Apr-20,April,2020,Female,Number of clients who are at risk of homelessness,"7,471","10,207","3,314","2,071","2,216",455,467,"1,070","27,232",
Apr-20,April,2020,Male,Number of Indigenous clients,"2,588","1,313","1,557",747,607,148,135,992,"8,083",
Apr-20,April,2020,Male,Number of clients who have experienced family and domestic violence,"2,063","3,042",890,494,265,115,237,220,"7,324",
Apr-20,April,2020,Male,Number of clients with a current mental health issue,"2,842","3,688","1,188",522,654,482,249,127,"9,738",
Apr-20,April,2020,Male,Number of clients with problematic drug or alcohol issues,"1,025","1,553",440,326,335,164,96,110,"4,045",
Apr-20,April,2020,Male,Number of clients financially assisted with payments for short term/emergency accommodation,45,"1,634",222,12,16,47,12,0,"1,988",
Apr-20,April,2020,Male,Number of nights in short-term/emergency accommodation,"17,020","36,080","33,956","7,492","3,468","3,050","3,321","1,399","105,786",
Apr-20,April,2020,Male,Number of clients accommodated in short-term/emergency accommodation,848,"2,557","1,628",519,204,195,140,96,"6,184",
Apr-20,April,2020,Male,Number of clients who are homeless,"4,546","6,854","2,920","1,036","1,131",722,459,468,"18,100",
Apr-20,April,2020,Male,Number of clients who are at risk of homelessness,"4,395","5,367","1,975",840,"1,194",291,370,508,"14,928",
Apr-20,April,2020,Total,Number of Indigenous clients,"6,496","3,458","4,135","2,138","1,653",334,292,"2,704","21,174",
Apr-20,April,2020,Total,Number of clients who have experienced family and domestic violence,"7,814","14,083","3,496","2,454","1,747",505,744,935,"31,737",
Apr-20,April,2020,Total,Number of clients with a current mental health issue,"7,620","9,506","3,087","1,628","1,837","1,079",650,307,"25,684",
Apr-20,April,2020,Total,Number of clients with problematic drug or alcohol issues,"1,956","2,751",858,728,581,255,192,206,"7,521",
Apr-20,April,2020,Total,Number of clients financially assisted with payments for short term/emergency accommodation,173,"2,822",436,90,54,91,38,9,"3,711",
Apr-20,April,2020,Total,Number of nights in short-term/emergency accommodation,"38,884","66,505","76,319","17,221","7,642","7,084","8,216","3,377","225,248",
Apr-20,April,2020,Total,Number of clients accommodated in short-term/emergency accommodation,"1,964","4,680","3,545","1,317",468,416,329,343,"13,056",
Apr-20,April,2020,Total,Number of clients who are homeless,"10,094","14,762","6,653","2,391","2,633","1,498","1,027","1,026","40,003",
Apr-20,April,2020,Total,Number of clients who are at risk of homelessness,"11,866","15,574","5,289","2,911","3,410",746,837,"1,578","42,160",
Mar-20,March,2020,Female,Number of Indigenous clients,"4,227","2,212","2,728","1,691","1,050",208,170,"1,768","14,007",
Mar-20,March,2020,Female,Number of clients who have experienced family and domestic violence,"5,986","11,595","2,874","2,060","1,495",388,483,800,"25,624",
Mar-20,March,2020,Female,Number of clients with a current mental health issue,"4,938","6,067","1,958","1,157","1,205",633,411,201,"16,549",
Mar-20,March,2020,Female,Number of clients with problematic drug or alcohol issues,970,"1,149",404,444,245,98,95,105,"3,508",
Mar-20,March,2020,Female,Number of clients financially assisted with payments for short term/emergency accommodation,142,908,144,67,75,63,23,30,"1,451",
Mar-20,March,2020,Female,Number of nights in short-term/emergency accommodation,"27,574","25,876","44,407","11,877","3,924","4,539","5,102","3,294","126,593",
