Month and Year,Month,Year,Sex,Client Group,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,National,
Feb-25,February,2025,Female,Number of nights in short-term/emergency accommodation,"28,121","31,691","86,989","12,195","3,792","5,662","4,557","3,079","176,086",
Feb-25,February,2025,Female,Number of clients accommodated in short-term/emergency accommodation,"1,390","2,174","3,996","1,059",256,307,178,439,"9,798",
Feb-25,February,2025,Female,Number of clients who are homeless,"7,316","8,394","7,199","2,336","1,721",767,525,903,"29,101",
Feb-25,February,2025,Female,Number of clients who are at risk of homelessness,"7,132","10,773","4,592","2,793","2,112",507,532,"1,194","29,574",
Feb-25,February,2025,Male,Number of Indigenous clients,"2,820","1,849","2,645","1,047",707,184,136,998,"10,367",
Feb-25,February,2025,Male,Number of clients who have experienced family and domestic violence,"2,210","3,680","1,450",813,296,113,206,220,"8,980",
Feb-25,February,2025,Male,Number of clients with a current mental health issue,"2,837","3,410","1,744",568,716,421,299,99,"10,081",
Feb-25,February,2025,Male,Number of clients with problematic drug or alcohol issues,915,"1,323",570,374,246,139,99,57,"3,722",
Feb-25,February,2025,Male,Number of clients financially assisted with payments for short term/emergency accommodation,45,860,568,16,12,16,10,7,"1,533",
Feb-25,February,2025,Male,Number of nights in short-term/emergency accommodation,"18,436","23,918","62,815","10,141","2,239","5,622","2,444","1,748","127,363",
Feb-25,February,2025,Male,Number of clients accommodated in short-term/emergency accommodation,923,"1,927","2,896",673,149,311,118,133,"7,126",
Feb-25,February,2025,Male,Number of clients who are homeless,"5,037","6,750","5,534","1,570","1,361",683,392,674,"21,946",
Feb-25,February,2025,Male,Number of clients who are at risk of homelessness,"3,708","5,643","2,484",896,"1,187",436,417,524,"15,273",
Feb-25,February,2025,Total,Number of Indigenous clients,"7,874","4,918","6,974","3,387","1,846",440,323,"2,994","28,691",
Feb-25,February,2025,Total,Number of clients who have experienced family and domestic violence,"8,865","14,399","5,597","3,905","1,505",523,779,"1,190","36,695",
Feb-25,February,2025,Total,Number of clients with a current mental health issue,"8,185","9,044","4,720","2,081","2,001","1,012",806,320,"28,130",
Feb-25,February,2025,Total,Number of clients with problematic drug or alcohol issues,"1,784","2,358","1,122",925,472,230,193,152,"7,234",
Feb-25,February,2025,Total,Number of clients financially assisted with payments for short term/emergency accommodation,162,"1,873","1,769",110,70,63,25,31,"4,102",
Feb-25,February,2025,Total,Number of nights in short-term/emergency accommodation,"46,557","55,609","149,804","22,336","6,031","11,284","7,001","4,827","303,449",
Feb-25,February,2025,Total,Number of clients accommodated in short-term/emergency accommodation,"2,313","4,101","6,892","1,732",405,618,296,572,"16,924",
Feb-25,February,2025,Total,Number of clients who are homeless,"12,353","15,144","12,733","3,906","3,082","1,450",917,"1,577","51,047",
Feb-25,February,2025,Total,Number of clients who are at risk of homelessness,"10,840","16,416","7,076","3,689","3,299",943,949,"1,718","44,847",
Jan-25,January,2025,Female,Number of Indigenous clients,"4,892","3,021","4,336","2,311","1,125",274,213,"2,040","18,161",
Jan-25,January,2025,Female,Number of clients who have experienced family and domestic violence,"6,500","10,623","4,161","3,097","1,237",418,555,"1,056","27,597",
Jan-25,January,2025,Female,Number of clients with a current mental health issue,"5,240","5,545","2,877","1,480","1,265",622,501,222,"17,726",
Jan-25,January,2025,Female,Number of clients with problematic drug or alcohol issues,866,"1,054",548,569,225,82,91,105,"3,539",
Jan-25,January,2025,Female,Number of clients financially assisted with payments for short term/emergency accommodation,103,"1,130","1,097",97,74,51,13,32,"2,595",
Jan-25,January,2025,Female,Number of nights in short-term/emergency accommodation,"30,520","34,790","91,766","12,807","4,831","6,015","4,866","2,938","188,533",
Jan-25,January,2025,Female,Number of clients accommodated in short-term/emergency accommodation,"1,347","2,321","3,863","1,105",272,316,193,449,"9,854",
Jan-25,January,2025,Female,Number of clients who are homeless,"7,225","8,332","7,071","2,249","1,731",817,523,936,"28,830",
Jan-25,January,2025,Female,Number of clients who are at risk of homelessness,"6,726","10,602","4,568","2,817","2,048",497,510,"1,189","28,896",
Jan-25,January,2025,Male,Number of Indigenous clients,"2,743","1,845","2,602","1,082",688,196,153,"1,053","10,344",
Jan-25,January,2025,Male,Number of clients who have experienced family and domestic violence,"2,113","3,684","1,457",840,311,114,193,260,"8,965",
Jan-25,January,2025,Male,Number of clients with a current mental health issue,"2,796","3,372","1,688",546,740,445,285,104,"9,958",
Jan-25,January,2025,Male,Number of clients with problematic drug or alcohol issues,902,"1,288",547,379,250,149,99,56,"3,665",
Jan-25,January,2025,Male,Number of clients financially assisted with payments for short term/emergency accommodation,43,962,583,19,21,15,9,3,"1,653",
Jan-25,January,2025,Male,Number of nights in short-term/emergency accommodation,"20,204","26,144","66,935","11,129","2,684","6,265","2,979","2,061","138,401",
Jan-25,January,2025,Male,Number of clients accommodated in short-term/emergency accommodation,917,"2,072","2,849",731,134,320,127,158,"7,300",
Jan-25,January,2025,Male,Number of clients who are homeless,"4,960","6,707","5,512","1,595","1,457",696,387,716,"21,978",
Jan-25,January,2025,Male,Number of clients who are at risk of homelessness,"3,562","5,489","2,455",939,"1,117",457,421,530,"14,944",
Jan-25,January,2025,Total,Number of Indigenous clients,"7,635","4,866","6,938","3,393","1,813",470,366,"3,093","28,505",
Jan-25,January,2025,Total,Number of clients who have experienced family and domestic violence,"8,613","14,307","5,618","3,937","1,548",532,748,"1,316","36,562",
Jan-25,January,2025,Total,Number of clients with a current mental health issue,"8,036","8,917","4,565","2,026","2,005","1,067",786,326,"27,684",
Jan-25,January,2025,Total,Number of clients with problematic drug or alcohol issues,"1,768","2,342","1,095",948,475,231,190,161,"7,204",
Jan-25,January,2025,Total,Number of clients financially assisted with payments for short term/emergency accommodation,146,"2,092","1,680",116,95,66,22,35,"4,248",
Jan-25,January,2025,Total,Number of nights in short-term/emergency accommodation,"50,724","60,934","158,701","23,936","7,515","12,280","7,845","4,999","326,934",
Jan-25,January,2025,Total,Number of clients accommodated in short-term/emergency accommodation,"2,264","4,393","6,712","1,836",406,636,320,607,"17,154",
Jan-25,January,2025,Total,Number of clients who are homeless,"12,185","15,039","12,583","3,844","3,188","1,513",910,"1,652","50,808",
Jan-25,January,2025,Total,Number of clients who are at risk of homelessness,"10,288","16,091","7,023","3,756","3,165",954,931,"1,719","43,840",
Dec-24,December,2024,Female,Number of Indigenous clients,"4,739","3,023","4,038","2,204","1,119",246,205,"1,951","17,483",
Dec-24,December,2024,Female,Number of clients who have experienced family and domestic violence,"6,287","10,413","3,936","3,044","1,223",390,539,"1,042","26,822",
Dec-24,December,2024,Female,Number of clients with a current mental health issue,"5,110","5,519","2,734","1,463","1,226",599,479,201,"17,312",
Dec-24,December,2024,Female,Number of clients with problematic drug or alcohol issues,853,"1,010",512,494,217,86,101,123,"3,393",
Dec-24,December,2024,Female,Number of clients financially assisted with payments for short term/emergency accommodation,149,933,949,73,56,69,16,18,"2,262",
Dec-24,December,2024,Female,Number of nights in short-term/emergency accommodation,"30,853","33,302","89,162","13,329","4,365","5,799","5,475","2,853","185,138",
Dec-24,December,2024,Female,Number of clients accommodated in short-term/emergency accommodation,"1,396","2,106","3,688","1,005",248,286,196,497,"9,414",
Dec-24,December,2024,Female,Number of clients who are homeless,"7,040","8,110","6,703","2,110","1,633",760,522,897,"27,732",
Dec-24,December,2024,Female,Number of clients who are at risk of homelessness,"6,623","10,572","4,426","2,835","2,042",468,476,"1,188","28,587",
Dec-24,December,2024,Male,Number of Indigenous clients,"2,721","1,769","2,495","1,050",698,207,136,970,"10,028",
Dec-24,December,2024,Male,Number of clients who have experienced family and domestic violence,"2,097","3,543","1,389",824,281,110,194,236,"8,665",
