Month and Year,Month,Year,Sex,Group,Reason for seeking assistance,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,National
Jun-25,June,2025,Total,Total,Total Clients,"24,179","33,467","19,784","7,898","6,343","2,352","1,999","3,089","98,923"
May-25,May,2025,Female,Accommodation,Accommodation,"8,098","9,002","7,355","1,970","2,745",822,822,788,"31,535"
May-25,May,2025,Female,Accommodation,Housing crisis (e.g. eviction),"5,435","5,701","4,649","1,090","2,152",489,570,274,"20,332"
May-25,May,2025,Female,Accommodation,Inadequate or inappropriate dwelling conditions,"3,025","4,639","3,731","1,046",479,420,383,518,"14,226"
May-25,May,2025,Female,Accommodation,Previous accommodation ended,"2,208","2,435","2,132",611,191,319,196,106,"8,194"
May-25,May,2025,Female,Financial,Financial,"7,090","9,404","6,854","2,097","1,120",603,887,525,"28,542"
May-25,May,2025,Female,Financial,Financial difficulties,"4,744","7,195","5,022","1,518",626,375,619,338,"20,416"
May-25,May,2025,Female,Financial,Housing affordability stress,"4,826","6,297","5,406","1,308",417,484,744,280,"19,745"
May-25,May,2025,Female,Financial,Employment difficulties,590,721,471,195,76,38,118,32,"2,241"
May-25,May,2025,Female,Financial,Unemployment,"1,368","1,695","1,295",529,343,78,199,92,"5,597"
May-25,May,2025,Female,Interpersonal,Interpersonal Relationships,"8,450","12,623","5,448","3,610","1,587",672,758,"1,085","34,168"
May-25,May,2025,Female,Interpersonal,Time out from family/other situation,"1,372","1,279",933,555,66,146,225,197,"4,769"
May-25,May,2025,Female,Interpersonal,Relationship/family breakdown,"3,671","3,142","2,272","1,256",453,360,453,177,"11,770"
May-25,May,2025,Female,Interpersonal,Family and domestic violence,"6,325","10,882","4,054","2,991","1,183",394,558,923,"27,261"
May-25,May,2025,Female,Interpersonal,Non-family violence,306,357,185,112,42,46,33,36,"1,116"
May-25,May,2025,Female,Health,Health,"3,506","3,764","2,247","1,303","1,077",344,472,163,"12,867"
May-25,May,2025,Female,Health,Mental health issues,"2,805","2,908","1,532",872,841,265,386,60,"9,663"
May-25,May,2025,Female,Health,Medical issues,"1,108","1,472",951,402,390,119,174,61,"4,676"
May-25,May,2025,Female,Health,Problematic drug or substance use,630,755,311,290,156,52,72,34,"2,299"
May-25,May,2025,Female,Health,Problematic alcohol use,237,276,183,173,70,17,27,47,"1,029"
May-25,May,2025,Female,Other,Other,"4,292","4,829","3,548","1,644",757,437,460,630,"16,578"
May-25,May,2025,Female,Other,Transition from custodial arrangements,201,240,82,41,53,21,16,8,661
May-25,May,2025,Female,Other,Transition from other care arrangements,117,156,83,64,9,16,17,15,477
May-25,May,2025,Female,Other,Unable to return home due to environmental reasons,291,278,263,90,65,27,58,12,"1,084"
May-25,May,2025,Female,Other,Lack of family and/or community support,"3,179","3,084","2,348","1,083",372,304,380,310,"11,052"
May-25,May,2025,Female,Other,Other (not elsewhere classified),718,"1,351",991,449,82,107,81,289,"4,067"
May-25,May,2025,Female,Total,Total Clients,"15,049","20,738","11,980","5,382","3,914","1,241","1,168","2,089","61,428"
May-25,May,2025,Male,Accommodation,Accommodation,"5,567","6,937","5,542","1,210","1,999",712,517,500,"22,949"
May-25,May,2025,Male,Accommodation,Housing crisis (e.g. eviction),"3,609","4,245","3,455",706,"1,591",350,349,127,"14,417"
May-25,May,2025,Male,Accommodation,Inadequate or inappropriate dwelling conditions,"2,117","3,818","2,945",687,351,370,256,324,"10,860"
May-25,May,2025,Male,Accommodation,Previous accommodation ended,"1,546","2,098","1,617",346,123,271,126,125,"6,248"
May-25,May,2025,Male,Financial,Financial,"4,818","6,629","4,954","1,283",819,456,520,330,"19,786"
May-25,May,2025,Male,Financial,Financial difficulties,"3,171","4,949","3,551",862,405,278,353,185,"13,744"
May-25,May,2025,Male,Financial,Housing affordability stress,"3,284","4,459","3,905",853,305,355,433,185,"13,766"
May-25,May,2025,Male,Financial,Employment difficulties,490,663,427,171,97,29,96,42,"2,014"
May-25,May,2025,Male,Financial,Unemployment,"1,118","1,549","1,127",370,323,80,160,101,"4,826"
May-25,May,2025,Male,Interpersonal,Interpersonal Relationships,"3,655","5,405","2,540","1,163",527,334,355,296,"14,266"
May-25,May,2025,Male,Interpersonal,Time out from family/other situation,768,921,573,277,31,108,87,72,"2,837"
May-25,May,2025,Male,Interpersonal,Relationship/family breakdown,"1,986","1,967","1,301",447,229,195,231,64,"6,418"
May-25,May,2025,Male,Interpersonal,Family and domestic violence,"2,160","3,789","1,447",788,279,104,189,206,"8,956"
May-25,May,2025,Male,Interpersonal,Non-family violence,199,234,83,32,25,23,14,13,623
May-25,May,2025,Male,Health,Health,"2,431","3,157","1,768",705,736,339,290,112,"9,529"
May-25,May,2025,Male,Health,Mental health issues,"1,842","2,230","1,052",345,484,230,212,44,"6,434"
May-25,May,2025,Male,Health,Medical issues,801,"1,208",800,285,309,110,119,42,"3,670"
May-25,May,2025,Male,Health,Problematic drug or substance use,645,"1,053",285,207,139,74,71,19,"2,492"
May-25,May,2025,Male,Health,Problematic alcohol use,309,395,233,156,69,59,45,41,"1,307"
May-25,May,2025,Male,Other,Other,"2,973","4,389","2,512",824,562,385,392,356,"12,387"
May-25,May,2025,Male,Other,Transition from custodial arrangements,370,"1,132",149,53,132,57,33,31,"1,956"
May-25,May,2025,Male,Other,Transition from other care arrangements,104,142,69,34,17,32,21,7,426
May-25,May,2025,Male,Other,Unable to return home due to environmental reasons,178,180,147,43,34,20,39,7,648
May-25,May,2025,Male,Other,Lack of family and/or community support,"1,849","2,199","1,602",457,232,193,217,174,"6,922"
May-25,May,2025,Male,Other,Other (not elsewhere classified),450,996,666,185,36,106,148,119,"2,706"
May-25,May,2025,Male,Total,Total Clients,"9,401","13,317","8,136","2,617","2,590","1,082",841,"1,010","38,918"
May-25,May,2025,Total,Accommodation,Accommodation,"13,665","15,939","12,897","3,180","4,744","1,534","1,339","1,288","54,484"
May-25,May,2025,Total,Accommodation,Housing crisis (e.g. eviction),"9,044","9,946","8,104","1,796","3,743",839,919,401,"34,749"
May-25,May,2025,Total,Accommodation,Inadequate or inappropriate dwelling conditions,"5,142","8,457","6,676","1,733",830,790,639,842,"25,086"
May-25,May,2025,Total,Accommodation,Previous accommodation ended,"3,754","4,533","3,749",957,314,590,322,231,"14,442"
May-25,May,2025,Total,Financial,Financial,"11,908","16,033","11,808","3,380","1,939","1,059","1,407",855,"48,328"
May-25,May,2025,Total,Financial,Financial difficulties,"7,915","12,144","8,573","2,380","1,031",653,972,523,"34,160"
May-25,May,2025,Total,Financial,Housing affordability stress,"8,110","10,756","9,311","2,161",722,839,"1,177",465,"33,511"
May-25,May,2025,Total,Financial,Employment difficulties,"1,080","1,384",898,366,173,67,214,74,"4,255"
May-25,May,2025,Total,Financial,Unemployment,"2,486","3,244","2,422",899,666,158,359,193,"10,423"
May-25,May,2025,Total,Interpersonal,Interpersonal Relationships,"12,105","18,028","7,988","4,773","2,114","1,006","1,113","1,381","48,434"
May-25,May,2025,Total,Interpersonal,Time out from family/other situation,"2,140","2,200","1,506",832,97,254,312,269,"7,606"
May-25,May,2025,Total,Interpersonal,Relationship/family breakdown,"5,657","5,109","3,573","1,703",682,555,684,241,"18,188"
May-25,May,2025,Total,Interpersonal,Family and domestic violence,"8,485","14,671","5,501","3,779","1,462",498,747,"1,129","36,217"
May-25,May,2025,Total,Interpersonal,Non-family violence,505,591,268,144,67,69,47,49,"1,739"
May-25,May,2025,Total,Health,Health,"5,937","6,921","4,015","2,008","1,813",683,762,275,"22,396"
May-25,May,2025,Total,Health,Mental health issues,"4,647","5,138","2,584","1,217","1,325",495,598,104,"16,097"
May-25,May,2025,Total,Health,Medical issues,"1,909","2,680","1,751",687,699,229,293,103,"8,346"
May-25,May,2025,Total,Health,Problematic drug or substance use,"1,275","1,808",596,497,295,126,143,53,"4,791"
May-25,May,2025,Total,Health,Problematic alcohol use,546,671,416,329,139,76,72,88,"2,336"
May-25,May,2025,Total,Other,Other,"7,265","9,218","6,060","2,468","1,319",822,852,986,"28,965"
May-25,May,2025,Total,Other,Transition from custodial arrangements,571,"1,372",231,94,185,78,49,39,"2,617"
May-25,May,2025,Total,Other,Transition from other care arrangements,221,298,152,98,26,48,38,22,903
May-25,May,2025,Total,Other,Unable to return home due to environmental reasons,469,458,410,133,99,47,97,19,"1,732"
May-25,May,2025,Total,Other,Lack of family and/or community support,"5,028","5,283","3,950","1,540",604,497,597,484,"17,974"
May-25,May,2025,Total,Other,Other (not elsewhere classified),"1,168","2,347","1,657",634,118,213,229,408,"6,773"
May-25,May,2025,Total,Total,Total Clients,"24,450","34,055","20,116","7,999","6,504","2,323","2,009","3,099","100,346"
Apr-25,April,2025,Female,Accommodation,Accommodation,"8,006","8,811","7,329","1,953","2,755",778,783,835,"31,189"
Apr-25,April,2025,Female,Accommodation,Housing crisis (e.g. eviction),"5,354","5,579","4,640","1,119","2,182",477,549,282,"20,159"
Apr-25,April,2025,Female,Accommodation,Inadequate or inappropriate dwelling conditions,"2,982","4,466","3,793","1,047",474,378,357,565,"14,042"
Apr-25,April,2025,Female,Accommodation,Previous accommodation ended,"2,140","2,400","2,033",610,194,299,182,102,"7,955"
Apr-25,April,2025,Female,Financial,Financial,"6,939","8,987","6,787","2,139","1,085",555,857,666,"27,969"
