Month and Year,Month,Year,Sex,Group,Reason for seeking assistance,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,National
Sep-20,September,2020,Female,Other,Itinerant,266,574,149,107,226,80,5,61,"1,468"
Sep-20,September,2020,Female,Other,Unable to return home due to environmental reasons,268,319,122,104,89,32,62,19,"1,015"
Sep-20,September,2020,Female,Other,Disengagement with school or other education and training,298,279,98,83,179,8,15,22,982
Sep-20,September,2020,Female,Other,Lack of family and/or community support,"2,809","3,319","1,846",940,433,424,344,246,"10,357"
Sep-20,September,2020,Female,Other,Other (not elsewhere classified),891,"1,017",610,353,114,59,79,236,"3,359"
Sep-20,September,2020,Female,COVID,COVID-19,344,"2,020",462,95,8,4,74,40,"3,047"
Sep-20,September,2020,Female,Not stated,Not stated,139,111,6,3,0,0,1,57,317
Sep-20,September,2020,Female,Total,Total Clients,"13,935","20,370","7,628","4,092","4,032","1,323","1,064","2,010","54,358"
Sep-20,September,2020,Male,Accommodation,Accommodation,"5,412","8,074","3,637","1,144","1,824",804,494,545,"21,907"
Sep-20,September,2020,Male,Accommodation,Housing crisis (e.g. eviction),"3,178","4,937","2,061",512,"1,057",462,284,183,"12,668"
Sep-20,September,2020,Male,Accommodation,Inadequate or inappropriate dwelling conditions,"2,291","4,510","1,914",635,712,424,266,351,"11,097"
Sep-20,September,2020,Male,Accommodation,Previous accommodation ended,"1,574","2,887","1,085",395,219,373,191,106,"6,826"
Sep-20,September,2020,Male,Financial,Financial,"4,556","7,114","2,958","1,063",783,515,466,391,"17,835"
Sep-20,September,2020,Male,Financial,Financial difficulties,"3,070","5,642","2,187",735,466,313,327,271,"13,006"
Sep-20,September,2020,Male,Financial,Housing affordability stress,"2,766","4,178","1,737",522,199,359,288,185,"10,232"
Sep-20,September,2020,Male,Financial,Employment difficulties,629,968,280,127,89,34,75,83,"2,285"
Sep-20,September,2020,Male,Financial,Unemployment,"1,324","1,921",823,393,336,109,163,157,"5,225"
Sep-20,September,2020,Male,Financial,Problematic gambling,64,33,14,6,9,2,3,5,136
Sep-20,September,2020,Male,Interpersonal,Interpersonal Relationships,"3,740","5,057","1,847",918,576,423,381,383,"13,320"
Sep-20,September,2020,Male,Interpersonal,Time out from family/other situation,768,"1,079",501,285,43,184,80,124,"3,064"
Sep-20,September,2020,Male,Interpersonal,Relationship/family breakdown,"2,135","2,404","1,025",449,281,258,298,100,"6,948"
Sep-20,September,2020,Male,Interpersonal,Sexual abuse,60,87,33,18,7,1,9,9,224
Sep-20,September,2020,Male,Interpersonal,Family and domestic violence,"1,985","3,003",918,477,282,114,206,249,"7,232"
Sep-20,September,2020,Male,Interpersonal,Non-family violence,154,356,87,43,18,47,26,10,741
Sep-20,September,2020,Male,Health,Health,"2,586","3,874","1,392",735,833,457,285,188,"10,340"
Sep-20,September,2020,Male,Health,Mental health issues,"1,864","2,686",843,440,548,345,191,70,"6,979"
Sep-20,September,2020,Male,Health,Medical issues,827,"1,345",535,227,268,156,108,77,"3,542"
Sep-20,September,2020,Male,Health,Problematic drug or substance use,770,"1,367",375,272,253,72,79,44,"3,231"
Sep-20,September,2020,Male,Health,Problematic alcohol use,344,424,193,167,140,51,41,57,"1,417"
Sep-20,September,2020,Male,Other,Other,"3,071","4,757","1,865",993,884,509,365,438,"12,877"
Sep-20,September,2020,Male,Other,Transition from custodial arrangements,438,999,130,77,191,56,28,45,"1,963"
Sep-20,September,2020,Male,Other,Transition from foster care and child safety residential placements,31,69,35,16,5,4,4,3,167
Sep-20,September,2020,Male,Other,Transition from other care arrangements,118,174,47,44,27,22,27,9,468
Sep-20,September,2020,Male,Other,Discrimination including racial discrimination,52,76,21,7,30,3,12,1,202
Sep-20,September,2020,Male,Other,Itinerant,422,945,192,137,273,115,9,100,"2,193"
Sep-20,September,2020,Male,Other,Unable to return home due to environmental reasons,207,284,80,48,47,33,24,10,733
Sep-20,September,2020,Male,Other,Disengagement with school or other education and training,217,230,76,58,105,11,8,18,723
Sep-20,September,2020,Male,Other,Lack of family and/or community support,"1,722","2,623","1,182",535,297,342,192,187,"7,079"
Sep-20,September,2020,Male,Other,Other (not elsewhere classified),621,727,479,268,74,48,131,144,"2,492"
Sep-20,September,2020,Male,COVID,COVID-19,248,"2,421",359,44,4,8,36,26,"3,144"
Sep-20,September,2020,Male,Not stated,Not stated,214,92,5,6,0,1,3,102,423
Sep-20,September,2020,Male,Total,Total Clients,"9,683","13,291","5,477","2,279","2,618","1,078",843,"1,186","36,410"
Sep-20,September,2020,Total,Accommodation,Accommodation,"12,293","17,092","8,146","2,690","4,410","1,739","1,139","1,290","48,744"
Sep-20,September,2020,Total,Accommodation,Housing crisis (e.g. eviction),"7,379","10,413","4,672","1,289","2,733","1,020",645,535,"28,673"
Sep-20,September,2020,Total,Accommodation,Inadequate or inappropriate dwelling conditions,"5,160","9,383","4,249","1,456","1,583",876,622,812,"24,124"
Sep-20,September,2020,Total,Accommodation,Previous accommodation ended,"3,476","5,847","2,518",877,524,784,431,236,"14,686"
Sep-20,September,2020,Total,Financial,Financial,"10,648","15,635","6,895","2,539","1,717","1,135","1,116",873,"40,527"
Sep-20,September,2020,Total,Financial,Financial difficulties,"7,286","12,402","5,131","1,795","1,095",706,806,582,"29,784"
Sep-20,September,2020,Total,Financial,Housing affordability stress,"6,538","9,393","4,171","1,298",513,829,721,444,"23,900"
Sep-20,September,2020,Total,Financial,Employment difficulties,"1,332","1,814",537,239,189,54,159,124,"4,448"
Sep-20,September,2020,Total,Financial,Unemployment,"2,674","3,876","1,767",816,620,209,319,285,"10,564"
Sep-20,September,2020,Total,Financial,Problematic gambling,91,54,26,7,12,4,7,13,214
Sep-20,September,2020,Total,Interpersonal,Interpersonal Relationships,"11,752","18,387","5,762","3,606","2,442","1,124","1,064","1,451","45,532"
Sep-20,September,2020,Total,Interpersonal,Time out from family/other situation,"2,111","2,554","1,385",848,105,421,258,351,"8,032"
Sep-20,September,2020,Total,Interpersonal,Relationship/family breakdown,"5,931","6,241","2,832","1,576",744,597,784,319,"19,017"
Sep-20,September,2020,Total,Interpersonal,Sexual abuse,322,564,173,235,64,30,30,43,"1,461"
Sep-20,September,2020,Total,Interpersonal,Family and domestic violence,"7,716","14,198","3,575","2,618","1,707",494,682,"1,124","32,071"
Sep-20,September,2020,Total,Interpersonal,Non-family violence,467,863,236,158,44,121,76,34,"1,999"
Sep-20,September,2020,Total,Health,Health,"5,970","8,161","3,106","1,819","1,883",938,674,419,"22,951"
Sep-20,September,2020,Total,Health,Mental health issues,"4,615","6,007","2,069","1,139","1,361",750,493,132,"16,551"
Sep-20,September,2020,Total,Health,Medical issues,"1,768","2,806","1,245",605,558,314,221,165,"7,681"
Sep-20,September,2020,Total,Health,Problematic drug or substance use,"1,469","2,401",676,572,446,133,167,83,"5,945"
Sep-20,September,2020,Total,Health,Problematic alcohol use,613,704,340,337,213,76,73,140,"2,496"
Sep-20,September,2020,Total,Other,Other,"7,150","9,729","4,405","2,438","1,836","1,071",822,993,"28,428"
Sep-20,September,2020,Total,Other,Transition from custodial arrangements,627,"1,295",181,114,247,80,47,50,"2,640"
Sep-20,September,2020,Total,Other,Transition from foster care and child safety residential placements,70,182,57,34,14,12,9,22,400
Sep-20,September,2020,Total,Other,Transition from other care arrangements,255,349,99,85,42,35,37,24,926
Sep-20,September,2020,Total,Other,Discrimination including racial discrimination,138,157,59,23,82,6,30,3,498
Sep-20,September,2020,Total,Other,Itinerant,688,"1,519",341,244,499,195,14,161,"3,661"
Sep-20,September,2020,Total,Other,Unable to return home due to environmental reasons,475,603,202,152,136,65,86,29,"1,748"
Sep-20,September,2020,Total,Other,Disengagement with school or other education and training,515,509,174,141,284,19,23,40,"1,705"
Sep-20,September,2020,Total,Other,Lack of family and/or community support,"4,531","5,942","3,028","1,475",730,766,536,433,"17,436"
Sep-20,September,2020,Total,Other,Other (not elsewhere classified),"1,512","1,744","1,089",621,188,107,210,380,"5,851"
Sep-20,September,2020,Total,COVID,COVID-19,592,"4,441",821,139,12,12,110,66,"6,191"
Sep-20,September,2020,Total,Not stated,Not stated,353,203,11,9,0,1,4,159,740
Sep-20,September,2020,Total,Total,Total Clients,"23,618","33,661","13,105","6,371","6,650","2,401","1,907","3,196","90,768"
Aug-20,August,2020,Female,Accommodation,Accommodation,"6,674","8,806","4,386","1,413","2,476",913,656,757,"26,055"
Aug-20,August,2020,Female,Accommodation,Housing crisis (e.g. eviction),"4,033","5,285","2,543",731,"1,615",540,351,351,"15,439"
Aug-20,August,2020,Female,Accommodation,Inadequate or inappropriate dwelling conditions,"2,756","4,847","2,267",751,832,451,374,461,"12,732"
Aug-20,August,2020,Female,Accommodation,Previous accommodation ended,"1,830","2,868","1,394",432,296,408,250,122,"7,597"
Aug-20,August,2020,Female,Financial,Financial,"5,860","8,483","3,717","1,392",903,618,669,449,"22,083"
Aug-20,August,2020,Female,Financial,Financial difficulties,"4,039","6,642","2,797","1,004",598,404,506,300,"16,285"
Aug-20,August,2020,Female,Financial,Housing affordability stress,"3,616","5,161","2,275",736,307,461,462,228,"13,243"
Aug-20,August,2020,Female,Financial,Employment difficulties,712,837,263,112,96,24,82,36,"2,162"
Aug-20,August,2020,Female,Financial,Unemployment,"1,325","1,941",901,404,271,110,159,107,"5,217"
Aug-20,August,2020,Female,Financial,Problematic gambling,25,21,12,2,4,2,3,8,77
Aug-20,August,2020,Female,Interpersonal,Interpersonal Relationships,"7,676","13,055","3,788","2,501","1,785",710,678,942,"31,091"
Aug-20,August,2020,Female,Interpersonal,Time out from family/other situation,"1,242","1,478",862,482,70,230,178,190,"4,731"
Aug-20,August,2020,Female,Interpersonal,Relationship/family breakdown,"3,613","3,818","1,797","1,051",430,361,488,192,"11,747"
Aug-20,August,2020,Female,Interpersonal,Sexual abuse,290,488,137,197,55,28,19,29,"1,243"
Aug-20,August,2020,Female,Interpersonal,Family and domestic violence,"5,498","10,921","2,570","2,011","1,383",396,461,778,"23,979"
Aug-20,August,2020,Female,Interpersonal,Non-family violence,302,505,149,119,18,63,52,31,"1,239"
Aug-20,August,2020,Female,Health,Health,"3,305","4,294","1,660","1,004","1,029",474,380,216,"12,355"
Aug-20,August,2020,Female,Health,Mental health issues,"2,668","3,325","1,175",662,796,405,295,54,"9,375"
Aug-20,August,2020,Female,Health,Medical issues,913,"1,435",650,324,294,158,113,92,"3,979"
Aug-20,August,2020,Female,Health,Problematic drug or substance use,672,"1,031",300,286,190,60,79,42,"2,660"
Aug-20,August,2020,Female,Health,Problematic alcohol use,273,265,151,150,69,20,32,78,"1,038"
Aug-20,August,2020,Female,Other,Other,"3,955","4,900","2,385","1,382",890,563,461,558,"15,087"
Aug-20,August,2020,Female,Other,Transition from custodial arrangements,179,291,51,38,53,24,21,4,661
Aug-20,August,2020,Female,Other,Transition from foster care and child safety residential placements,41,120,21,21,4,8,4,17,236
Aug-20,August,2020,Female,Other,Transition from other care arrangements,125,168,46,45,23,13,9,14,443
Aug-20,August,2020,Female,Other,Discrimination including racial discrimination,78,83,36,14,43,4,17,1,276
Aug-20,August,2020,Female,Other,Itinerant,276,562,135,101,208,75,5,57,"1,419"
Aug-20,August,2020,Female,Other,Unable to return home due to environmental reasons,262,310,126,89,96,27,63,21,994
Aug-20,August,2020,Female,Other,Disengagement with school or other education and training,324,277,85,79,175,7,14,18,979
Aug-20,August,2020,Female,Other,Lack of family and/or community support,"2,684","3,261","1,759",884,392,429,351,248,"10,006"
Aug-20,August,2020,Female,Other,Other (not elsewhere classified),845,"1,022",533,358,109,67,78,249,"3,260"
Aug-20,August,2020,Female,COVID,COVID-19,355,"1,865",504,99,9,2,79,24,"2,937"
Aug-20,August,2020,Female,Not stated,Not stated,137,82,7,3,0,0,1,91,321
Aug-20,August,2020,Female,Total,Total Clients,"13,420","19,895","7,316","3,855","3,892","1,290","1,065","1,898","52,552"
Aug-20,August,2020,Male,Accommodation,Accommodation,"5,156","7,791","3,525","1,080","1,793",786,465,556,"21,127"
Aug-20,August,2020,Male,Accommodation,Housing crisis (e.g. eviction),"2,988","4,712","1,980",491,"1,084",459,255,180,"12,146"
Aug-20,August,2020,Male,Accommodation,Inadequate or inappropriate dwelling conditions,"2,232","4,434","1,869",579,685,410,258,366,"10,825"
Aug-20,August,2020,Male,Accommodation,Previous accommodation ended,"1,464","2,748","1,042",385,197,355,181,105,"6,472"
Aug-20,August,2020,Male,Financial,Financial,"4,342","6,844","2,760","1,070",799,510,454,367,"17,137"
Aug-20,August,2020,Male,Financial,Financial difficulties,"2,933","5,413","2,036",754,464,326,321,262,"12,504"
Aug-20,August,2020,Male,Financial,Housing affordability stress,"2,645","4,022","1,632",534,187,342,284,177,"9,822"
Aug-20,August,2020,Male,Financial,Employment difficulties,644,895,260,130,82,32,75,87,"2,205"
Aug-20,August,2020,Male,Financial,Unemployment,"1,280","1,839",792,383,350,103,150,150,"5,046"
Aug-20,August,2020,Male,Financial,Problematic gambling,62,29,13,7,7,2,3,5,128
Aug-20,August,2020,Male,Interpersonal,Interpersonal Relationships,"3,576","4,930","1,761",880,565,426,363,314,"12,807"
Aug-20,August,2020,Male,Interpersonal,Time out from family/other situation,717,"1,050",465,263,45,180,81,103,"2,904"
Aug-20,August,2020,Male,Interpersonal,Relationship/family breakdown,"2,039","2,336",988,426,275,253,286,101,"6,701"
Aug-20,August,2020,Male,Interpersonal,Sexual abuse,61,87,25,15,8,1,9,7,213
Aug-20,August,2020,Male,Interpersonal,Family and domestic violence,"1,931","2,939",877,476,273,121,209,190,"7,011"
Aug-20,August,2020,Male,Interpersonal,Non-family violence,142,344,96,44,12,46,24,12,720
Aug-20,August,2020,Male,Health,Health,"2,532","3,751","1,333",673,825,436,265,198,"10,002"
Aug-20,August,2020,Male,Health,Mental health issues,"1,831","2,609",822,403,541,327,178,72,"6,778"
Aug-20,August,2020,Male,Health,Medical issues,795,"1,311",506,203,269,153,107,78,"3,419"
Aug-20,August,2020,Male,Health,Problematic drug or substance use,728,"1,281",325,259,238,70,70,50,"3,020"
Aug-20,August,2020,Male,Health,Problematic alcohol use,366,404,187,145,135,56,42,63,"1,397"
Aug-20,August,2020,Male,Other,Other,"2,944","4,604","1,747",936,879,513,354,449,"12,420"
Aug-20,August,2020,Male,Other,Transition from custodial arrangements,401,"1,015",112,82,177,54,26,41,"1,908"
Aug-20,August,2020,Male,Other,Transition from foster care and child safety residential placements,36,73,32,18,5,5,5,4,178
Aug-20,August,2020,Male,Other,Transition from other care arrangements,112,167,55,41,24,26,27,9,461
Aug-20,August,2020,Male,Other,Discrimination including racial discrimination,50,76,22,6,33,3,11,1,202
Aug-20,August,2020,Male,Other,Itinerant,372,960,186,113,312,104,11,83,"2,140"
Aug-20,August,2020,Male,Other,Unable to return home due to environmental reasons,190,265,80,42,47,36,26,9,695
Aug-20,August,2020,Male,Other,Disengagement with school or other education and training,239,213,68,52,108,9,8,15,712
Aug-20,August,2020,Male,Other,Lack of family and/or community support,"1,701","2,490","1,137",519,283,341,178,182,"6,829"
Aug-20,August,2020,Male,Other,Other (not elsewhere classified),557,706,405,265,70,54,129,175,"2,359"
Aug-20,August,2020,Male,COVID,COVID-19,253,"2,342",390,62,9,7,33,31,"3,126"
Aug-20,August,2020,Male,Not stated,Not stated,228,78,4,3,0,3,4,87,406
Aug-20,August,2020,Male,Total,Total Clients,"9,242","12,891","5,235","2,191","2,593","1,062",807,"1,101","35,075"
Aug-20,August,2020,Total,Accommodation,Accommodation,"11,830","16,597","7,911","2,493","4,269","1,699","1,121","1,313","47,182"
Aug-20,August,2020,Total,Accommodation,Housing crisis (e.g. eviction),"7,021","9,997","4,523","1,222","2,699",999,606,531,"27,585"
Aug-20,August,2020,Total,Accommodation,Inadequate or inappropriate dwelling conditions,"4,988","9,281","4,136","1,330","1,517",861,632,827,"23,557"
Aug-20,August,2020,Total,Accommodation,Previous accommodation ended,"3,294","5,616","2,436",817,493,763,431,227,"14,069"
Aug-20,August,2020,Total,Financial,Financial,"10,202","15,327","6,477","2,462","1,702","1,128","1,123",816,"39,220"
Aug-20,August,2020,Total,Financial,Financial difficulties,"6,972","12,055","4,833","1,758","1,062",730,827,562,"28,789"
Aug-20,August,2020,Total,Financial,Housing affordability stress,"6,261","9,183","3,907","1,270",494,803,746,405,"23,065"
Aug-20,August,2020,Total,Financial,Employment difficulties,"1,356","1,732",523,242,178,56,157,123,"4,367"
Aug-20,August,2020,Total,Financial,Unemployment,"2,605","3,780","1,693",787,621,213,309,257,"10,263"
Aug-20,August,2020,Total,Financial,Problematic gambling,87,50,25,9,11,4,6,13,205
Aug-20,August,2020,Total,Interpersonal,Interpersonal Relationships,"11,252","17,985","5,549","3,381","2,350","1,136","1,041","1,256","43,898"
Aug-20,August,2020,Total,Interpersonal,Time out from family/other situation,"1,959","2,528","1,327",745,115,410,259,293,"7,635"
Aug-20,August,2020,Total,Interpersonal,Relationship/family breakdown,"5,652","6,154","2,785","1,477",705,614,774,293,"18,448"
Aug-20,August,2020,Total,Interpersonal,Sexual abuse,351,575,162,212,63,29,28,36,"1,456"
Aug-20,August,2020,Total,Interpersonal,Family and domestic violence,"7,429","13,860","3,447","2,487","1,656",517,670,968,"30,990"
Aug-20,August,2020,Total,Interpersonal,Non-family violence,444,849,245,163,30,109,76,43,"1,959"
Aug-20,August,2020,Total,Health,Health,"5,837","8,045","2,993","1,677","1,854",910,645,414,"22,357"
Aug-20,August,2020,Total,Health,Mental health issues,"4,499","5,934","1,997","1,065","1,337",732,473,126,"16,153"
Aug-20,August,2020,Total,Health,Medical issues,"1,708","2,746","1,156",527,563,311,220,170,"7,398"
Aug-20,August,2020,Total,Health,Problematic drug or substance use,"1,400","2,312",625,545,428,130,149,92,"5,680"
Aug-20,August,2020,Total,Health,Problematic alcohol use,639,669,338,295,204,76,74,141,"2,435"
Aug-20,August,2020,Total,Other,Other,"6,899","9,504","4,132","2,318","1,769","1,076",815,"1,007","27,507"
Aug-20,August,2020,Total,Other,Transition from custodial arrangements,580,"1,306",163,120,230,78,47,45,"2,569"
Aug-20,August,2020,Total,Other,Transition from foster care and child safety residential placements,77,193,53,39,9,13,9,21,414
Aug-20,August,2020,Total,Other,Transition from other care arrangements,237,335,101,86,47,39,36,23,904
Aug-20,August,2020,Total,Other,Discrimination including racial discrimination,128,159,58,20,76,7,28,2,478
Aug-20,August,2020,Total,Other,Itinerant,648,"1,522",321,214,520,179,16,140,"3,559"
Aug-20,August,2020,Total,Other,Unable to return home due to environmental reasons,452,575,206,131,143,63,89,30,"1,689"
Aug-20,August,2020,Total,Other,Disengagement with school or other education and training,563,490,153,131,283,16,22,33,"1,691"
Aug-20,August,2020,Total,Other,Lack of family and/or community support,"4,385","5,751","2,896","1,403",675,770,529,430,"16,835"
Aug-20,August,2020,Total,Other,Other (not elsewhere classified),"1,402","1,728",938,623,179,121,207,424,"5,619"
Aug-20,August,2020,Total,COVID,COVID-19,608,"4,207",894,161,18,9,112,55,"6,063"
Aug-20,August,2020,Total,Not stated,Not stated,365,160,11,6,0,3,5,178,727
Aug-20,August,2020,Total,Total,Total Clients,"22,662","32,786","12,551","6,046","6,485","2,352","1,872","2,999","87,627"
Jul-20,July,2020,Female,Accommodation,Accommodation,"6,572","8,845","4,398","1,405","2,534",907,664,748,"26,039"
Jul-20,July,2020,Female,Accommodation,Housing crisis (e.g. eviction),"4,005","5,339","2,529",723,"1,664",525,352,337,"15,464"
Jul-20,July,2020,Female,Accommodation,Inadequate or inappropriate dwelling conditions,"2,667","4,876","2,293",757,852,451,391,453,"12,731"
Jul-20,July,2020,Female,Accommodation,Previous accommodation ended,"1,837","2,819","1,362",433,291,407,242,115,"7,499"
Jul-20,July,2020,Female,Financial,Financial,"5,840","8,761","3,791","1,385",966,612,678,423,"22,435"
Jul-20,July,2020,Female,Financial,Financial difficulties,"4,035","6,974","2,904","1,008",635,426,517,273,"16,761"
Jul-20,July,2020,Female,Financial,Housing affordability stress,"3,593","5,308","2,277",724,319,454,473,217,"13,356"
Jul-20,July,2020,Female,Financial,Employment difficulties,731,861,287,109,105,26,88,37,"2,244"
Jul-20,July,2020,Female,Financial,Unemployment,"1,341","1,878",950,399,296,115,166,96,"5,240"
Jul-20,July,2020,Female,Financial,Problematic gambling,21,17,12,2,4,2,2,7,67
Jul-20,July,2020,Female,Interpersonal,Interpersonal Relationships,"7,639","13,213","3,788","2,478","1,850",693,674,897,"31,158"
Jul-20,July,2020,Female,Interpersonal,Time out from family/other situation,"1,285","1,460",868,494,78,214,186,165,"4,749"
Jul-20,July,2020,Female,Interpersonal,Relationship/family breakdown,"3,619","3,834","1,820","1,031",448,388,494,176,"11,803"
Jul-20,July,2020,Female,Interpersonal,Sexual abuse,320,493,137,191,57,28,18,23,"1,267"
Jul-20,July,2020,Female,Interpersonal,Family and domestic violence,"5,469","11,076","2,574","1,986","1,422",390,464,745,"24,061"
Jul-20,July,2020,Female,Interpersonal,Non-family violence,286,518,164,108,19,53,50,38,"1,236"
Jul-20,July,2020,Female,Health,Health,"3,215","4,357","1,683",972,"1,065",472,394,206,"12,352"
Jul-20,July,2020,Female,Health,Mental health issues,"2,625","3,386","1,196",637,832,405,302,54,"9,428"
Jul-20,July,2020,Female,Health,Medical issues,867,"1,459",654,306,308,148,119,87,"3,944"
Jul-20,July,2020,Female,Health,Problematic drug or substance use,687,"1,042",299,286,185,65,79,35,"2,678"
Jul-20,July,2020,Female,Health,Problematic alcohol use,270,257,152,156,74,23,29,76,"1,037"
Jul-20,July,2020,Female,Other,Other,"3,980","4,902","2,326","1,423",953,540,467,554,"15,137"
Jul-20,July,2020,Female,Other,Transition from custodial arrangements,171,286,52,32,57,18,18,5,639
Jul-20,July,2020,Female,Other,Transition from foster care and child safety residential placements,35,107,17,19,6,8,5,17,214
Jul-20,July,2020,Female,Other,Transition from other care arrangements,126,160,36,45,24,17,10,11,429
Jul-20,July,2020,Female,Other,Discrimination including racial discrimination,86,89,32,12,41,3,20,1,284
Jul-20,July,2020,Female,Other,Itinerant,296,566,136,122,213,81,6,61,"1,481"
Jul-20,July,2020,Female,Other,Unable to return home due to environmental reasons,242,303,126,88,118,22,66,21,986
Jul-20,July,2020,Female,Other,Disengagement with school or other education and training,316,268,80,75,180,6,14,23,962
Jul-20,July,2020,Female,Other,Lack of family and/or community support,"2,718","3,248","1,761",874,412,420,362,255,"10,043"
Jul-20,July,2020,Female,Other,Other (not elsewhere classified),851,"1,040",479,429,124,56,77,231,"3,287"
Jul-20,July,2020,Female,COVID,COVID-19,405,"1,669",578,106,23,4,73,12,"2,870"
Jul-20,July,2020,Female,Not stated,Not stated,130,102,7,2,0,0,1,89,331
Jul-20,July,2020,Female,Total,Total Clients,"13,357","20,286","7,230","3,849","3,998","1,256","1,065","1,841","52,765"
Jul-20,July,2020,Male,Accommodation,Accommodation,"5,105","7,636","3,554","1,082","1,809",768,514,524,"20,956"
Jul-20,July,2020,Male,Accommodation,Housing crisis (e.g. eviction),"3,016","4,606","2,027",502,"1,121",458,296,182,"12,202"
Jul-20,July,2020,Male,Accommodation,Inadequate or inappropriate dwelling conditions,"2,165","4,368","1,845",593,668,402,286,330,"10,643"
Jul-20,July,2020,Male,Accommodation,Previous accommodation ended,"1,439","2,696","1,033",383,189,360,176,99,"6,368"
Jul-20,July,2020,Male,Financial,Financial,"4,387","6,866","2,757","1,022",829,509,485,358,"17,191"
Jul-20,July,2020,Male,Financial,Financial difficulties,"2,979","5,423","2,081",734,478,334,327,256,"12,601"
Jul-20,July,2020,Male,Financial,Housing affordability stress,"2,682","4,054","1,592",508,210,350,302,184,"9,878"
Jul-20,July,2020,Male,Financial,Employment difficulties,656,877,278,112,85,37,78,93,"2,216"
Jul-20,July,2020,Male,Financial,Unemployment,"1,290","1,835",825,363,369,107,169,144,"5,102"
Jul-20,July,2020,Male,Financial,Problematic gambling,60,28,14,8,10,2,1,5,128
Jul-20,July,2020,Male,Interpersonal,Interpersonal Relationships,"3,501","4,885","1,782",870,577,414,364,314,"12,695"
Jul-20,July,2020,Male,Interpersonal,Time out from family/other situation,699,985,481,255,43,179,81,99,"2,822"
Jul-20,July,2020,Male,Interpersonal,Relationship/family breakdown,"2,019","2,321","1,013",420,272,252,282,84,"6,662"
Jul-20,July,2020,Male,Interpersonal,Sexual abuse,63,73,23,16,7,2,8,4,196
Jul-20,July,2020,Male,Interpersonal,Family and domestic violence,"1,898","2,923",895,458,296,109,213,192,"6,975"
Jul-20,July,2020,Male,Interpersonal,Non-family violence,157,348,99,53,11,42,25,11,746
Jul-20,July,2020,Male,Health,Health,"2,530","3,729","1,322",642,828,426,278,196,"9,937"
Jul-20,July,2020,Male,Health,Mental health issues,"1,807","2,587",814,396,547,339,187,71,"6,737"
Jul-20,July,2020,Male,Health,Medical issues,810,"1,325",518,202,266,137,102,74,"3,434"
Jul-20,July,2020,Male,Health,Problematic drug or substance use,759,"1,274",316,242,240,68,71,52,"3,021"
Jul-20,July,2020,Male,Health,Problematic alcohol use,367,412,185,140,137,55,40,68,"1,403"
Jul-20,July,2020,Male,Other,Other,"2,921","4,568","1,715",981,868,491,365,450,"12,350"
Jul-20,July,2020,Male,Other,Transition from custodial arrangements,398,971,150,64,174,46,29,42,"1,873"
Jul-20,July,2020,Male,Other,Transition from foster care and child safety residential placements,29,71,27,18,4,5,6,5,165
Jul-20,July,2020,Male,Other,Transition from other care arrangements,107,158,53,41,26,26,27,10,448
Jul-20,July,2020,Male,Other,Discrimination including racial discrimination,48,77,19,8,31,4,11,1,199
Jul-20,July,2020,Male,Other,Itinerant,378,944,168,130,291,119,8,83,"2,120"
Jul-20,July,2020,Male,Other,Unable to return home due to environmental reasons,186,232,81,42,47,28,29,6,651
Jul-20,July,2020,Male,Other,Disengagement with school or other education and training,223,212,61,46,102,8,5,14,671
Jul-20,July,2020,Male,Other,Lack of family and/or community support,"1,649","2,454","1,134",531,279,332,182,186,"6,742"
Jul-20,July,2020,Male,Other,Other (not elsewhere classified),593,791,362,314,71,45,127,165,"2,468"
Jul-20,July,2020,Male,COVID,COVID-19,309,"1,980",448,58,19,11,34,11,"2,868"
Jul-20,July,2020,Male,Not stated,Not stated,242,73,2,5,0,2,4,110,438
Jul-20,July,2020,Male,Total,Total Clients,"9,311","12,800","5,180","2,188","2,638","1,026",850,"1,111","35,041"
Jul-20,July,2020,Total,Accommodation,Accommodation,"11,677","16,481","7,952","2,487","4,343","1,675","1,178","1,272","46,995"
Jul-20,July,2020,Total,Accommodation,Housing crisis (e.g. eviction),"7,021","9,945","4,556","1,225","2,785",983,648,519,"27,666"
Jul-20,July,2020,Total,Accommodation,Inadequate or inappropriate dwelling conditions,"4,832","9,244","4,138","1,350","1,520",853,677,783,"23,374"
Jul-20,July,2020,Total,Accommodation,Previous accommodation ended,"3,276","5,515","2,395",816,480,767,418,214,"13,867"
Jul-20,July,2020,Total,Financial,Financial,"10,227","15,627","6,548","2,407","1,795","1,121","1,163",781,"39,626"
Jul-20,July,2020,Total,Financial,Financial difficulties,"7,014","12,397","4,985","1,742","1,113",760,844,529,"29,362"
Jul-20,July,2020,Total,Financial,Housing affordability stress,"6,275","9,362","3,869","1,232",529,804,775,401,"23,234"
Jul-20,July,2020,Total,Financial,Employment difficulties,"1,387","1,738",565,221,190,63,166,130,"4,460"
Jul-20,July,2020,Total,Financial,Unemployment,"2,631","3,713","1,775",762,665,222,335,240,"10,342"
Jul-20,July,2020,Total,Financial,Problematic gambling,81,45,26,10,14,4,3,12,195
Jul-20,July,2020,Total,Interpersonal,Interpersonal Relationships,"11,140","18,098","5,570","3,348","2,427","1,107","1,038","1,211","43,853"
Jul-20,July,2020,Total,Interpersonal,Time out from family/other situation,"1,984","2,445","1,349",749,121,393,267,264,"7,571"
